"ElementCode";"Element";"ElementShort";"Unit";"Unit_original"
511;"Total Population - Both sexes";"population";"number";1000
641;"Food supply quantity (tonnes)";"food_supply";"tonnes";"tonnes"
645;"Food supply quantity (kg/capita/yr)";"food_supply_kg/cap/yr";"Kg";"Kg"
646;"Food supply quantity (g/capita/day)";"food_supply_g/cap/day";"g/capita/day";"g/capita/day"
664;"Food supply (kcal/capita/day)";"food_supply_kcal/cap/day";"kcal/capita/day";"kcal/capita/day"
674;"Protein supply quantity (g/capita/day)";"protein_supply_g/cap/day";"g/capita/day";"g/capita/day"
684;"Fat supply quantity (g/capita/day)";"fat_supply_g/cap/day";"g/capita/day";"g/capita/day"
5009;"Area";"area_1000_ha/yr";"1000 Ha/year";"1000 Ha/year"
5071;"Stock Variation";"stock_variation";"tonnes";"tonnes"
5072;"Stock Variation";"stock_variation";"tonnes";"1000 tonnes"
5110;"Area";"area";"ha";"1000 Ha"
5111;"Stocks";"stock";"Head";"Head"
5112;"Stocks";"stock";"Head";"1000 Head"
5120;"Waste";"waste";"tonnes";"tonnes"
5123;"Waste";"waste";"tonnes";"1000 tonnes"
5130;"Processed";"processed";"tonnes";"tonnes"
5131;"Processed";"processed";"tonnes";"1000 tonnes"
5141;"Food";"food";"tonnes";"tonnes"
5142;"Food";"food";"tonnes";"1000 tonnes"
5153;"Other Util";"other_util";"tonnes";"tonnes"
5154;"Other Util";"other_util";"tonnes";"1000 tonnes"
5300;"Domestic supply quantity";"domestic_supply";"tonnes";"tonnes"
5301;"Domestic supply quantity";"domestic_supply";"tonnes";"1000 tonnes"
5312;"Area harvested";"area_harvested";"Ha";"Ha"
5510;"Production";"production";"tonnes";"tonnes"
5511;"Production Quantity";"production";"tonnes";"1000 tonnes"
5516;"Production";"production";"m3";"m3"
5520;"Feed";"feed";"tonnes";"tonnes"
5521;"Feed";"feed";"tonnes";"1000 tonnes"
5525;"Seed";"seed";"tonnes";"tonnes"
5527;"Seed";"seed";"tonnes";"1000 tonnes"
5610;"Import Quantity";"import";"tonnes";"tonnes"
5611;"Import Quantity";"import";"tonnes";"1000 tonnes"
5616;"Import Quantity";"import_m3";"m3";"m3"
5622;"Import Value";"import_kUS$";"1000 US$";"1000 US$"
5910;"Export Quantity";"export";"tonnes";"tonnes"
5911;"Export Quantity";"export";"tonnes";"1000 tonnes"
5916;"Export Quantity";"export_m3";"m3";"m3"
5922;"Export Value";"export_kUS$";"1000 US$";"1000 US$"
