CountryName;CountryCode;RegionCode;RegionName;;;;
Aruba                                   ;ABW;4 Rest Central America;Rest Central America;;Aruba;ABW;LAM
Afghanistan                                ;AFG;25 Rest South Asia;Rest South Asia;;Afghanistan;AFG;OAS
Angola;AGO;8 Western Africa;Western Africa;Added manually by JH;Angola;AGO;AFR
Anguilla                                ;AIA;4 Rest Central America;Rest Central America;;Anguilla;AIA;LAM
Aland Islands;ALA;11 Western Europe;Western Europe;Added manually by JH;Aland Islands;ALA;EUR
Albania                                         ;ALB;12 Central Europe;Central Europe;;Albania;ALB;ROW
Andorra                                     ;AND;11 Western Europe;Western Europe;;Andorra;AND;ROW
Netherlands Antilles                    ;ANT;4 Rest Central America;Rest Central America;Removed afterwards in R scripts;;;
United Arab Emirates                    ;ARE;17 Middle East;Middle East;;United Arab Emirates;ARE;MEA
Argentina;ARG;6 Rest South America;Rest South America;;Argentina;ARG;LAM
Armenia                                         ;ARM;16 Russia +;Russia +;;Armenia;ARM;MEA
American Samoa                          ;ASM;24 Oceania;Oceania;;American Samoa;ASM;OAS
Antarctica;ATA;;;Set to 0 afterwards in R scripts;Antarctica;ATA;ROW
French Southern Territories             ;ATF;24 Oceania;Oceania;;French Southern Territories;ATF;OAS
Antigua and Barbuda                       ;ATG;4 Rest Central America;Rest Central America;;Antigua and Barbuda;ATG;LAM
Australia                               ;AUS;24 Oceania;Oceania;;Australia;AUS;ROW
Austria                                         ;AUT;11 Western Europe;Western Europe;;Austria;AUT;EUR
Azerbaijan;AZE;16 Russia +;Russia +;;Azerbaijan;AZE;MEA
Burundi                                         ;BDI;8 Western Africa;Eastern Africa;;Burundi;BDI;AFR
Belgium                                          ;BEL;11 Western Europe;Western Europe;;Belgium;BEL;EUR
Benin                                           ;BEN;8 Western Africa;Western Africa;;Benin;BEN;AFR
Bonaire Sint Eustatius and Saba;BES;4 Rest Central America;Rest Central America;Added manually by JH;Bonaire Sint Eustatius and Saba;BES;LAM
Burkina Faso                            ;BFA;8 Western Africa;Western Africa;;Burkina Faso;BFA;AFR
Bangladesh;BGD;25 Rest South Asia;Rest South Asia;;Bangladesh;BGD;OAS
Bulgaria                                        ;BGR;12 Central Europe;Central Europe;;Bulgaria;BGR;EUR
Bahrain                                            ;BHR;17 Middle East;Middle East;;Bahrain;BHR;MEA
Bahamas                                 ;BHS;4 Rest Central America;Rest Central America;;Bahamas;BHS;LAM
Bosnia and Herzegovina                          ;BIH;12 Central Europe;Central Europe;;Bosnia and Herzegovina;BIH;ROW
Saint Barthelemy;BLM;4 Rest Central America;Rest Central America;Added manually by JH;Saint Barthelemy;BLM;LAM
Belarus                                         ;BLR;14 Ukraine +;Ukraine +;;Belarus;BLR;ROW
Belize                                  ;BLZ;4 Rest Central America;Rest Central America;;Belize;BLZ;LAM
Bermuda                                 ;BMU;4 Rest Central America;Rest Central America;;Bermuda;BMU;LAM
Bolivia;BOL;6 Rest South America;Rest South America;;Bolivia Plurinational State of;BOL;LAM
Brazil                               ;BRA;5 Brazil;Brazil;;Brazil;BRA;LAM
Barbados                                ;BRB;4 Rest Central America;Rest Central America;;Barbados;BRB;LAM
Brunei Darussalam                       ;BRN;21 Southeastern Asia;Southeastern Asia;;Brunei Darussalam;BRN;OAS
Bhutan                                           ;BTN;25 Rest South Asia;Rest South Asia;;Bhutan;BTN;OAS
Bouvet Island;BVT;6 Rest South America;Rest South America;;Bouvet Island;BVT;ROW
Botswana                                        ;BWA;8 Western Africa;Rest Southern Africa;;Botswana;BWA;AFR
