X;CountryCode;individual;OECD;European Union;ASEAN
Afghanistan;AFG;FALSE;FALSE;FALSE;FALSE
Aland Islands;ALA;FALSE;FALSE;TRUE;FALSE
Albania;ALB;FALSE;FALSE;FALSE;FALSE
Algeria;DZA;FALSE;FALSE;FALSE;FALSE
American Samoa;ASM;FALSE;FALSE;FALSE;FALSE
Andorra;AND;FALSE;FALSE;FALSE;FALSE
Angola;AGO;FALSE;FALSE;FALSE;FALSE
Anguilla;AIA;FALSE;FALSE;FALSE;FALSE
Antarctica;ATA;FALSE;FALSE;FALSE;FALSE
Antigua and Barbuda;ATG;FALSE;FALSE;FALSE;FALSE
Argentina;ARG;FALSE;FALSE;FALSE;FALSE
Armenia;ARM;FALSE;FALSE;FALSE;FALSE
Aruba;ABW;FALSE;FALSE;FALSE;FALSE
Australia;AUS;FALSE;TRUE;FALSE;FALSE
Austria;AUT;FALSE;TRUE;TRUE;FALSE
Azerbaijan;AZE;FALSE;FALSE;FALSE;FALSE
Bahamas;BHS;FALSE;FALSE;FALSE;FALSE
Bahrain;BHR;FALSE;FALSE;FALSE;FALSE
Bangladesh;BGD;FALSE;FALSE;FALSE;FALSE
Barbados;BRB;FALSE;FALSE;FALSE;FALSE
Belarus;BLR;FALSE;FALSE;FALSE;FALSE
Belgium;BEL;FALSE;TRUE;TRUE;FALSE
Belize;BLZ;FALSE;FALSE;FALSE;FALSE
Benin;BEN;FALSE;FALSE;FALSE;FALSE
Bermuda;BMU;FALSE;FALSE;FALSE;FALSE
Bhutan;BTN;FALSE;FALSE;FALSE;FALSE
Bolivia, Plurinational State of;BOL;FALSE;FALSE;FALSE;FALSE
Bonaire, Sint Eustatius and Saba;BES;FALSE;FALSE;FALSE;FALSE
Bosnia and Herzegovina;BIH;FALSE;FALSE;FALSE;FALSE
Botswana;BWA;FALSE;FALSE;FALSE;FALSE
Bouvet Island;BVT;FALSE;FALSE;FALSE;FALSE
Brazil;BRA;TRUE;FALSE;FALSE;FALSE
British Indian Ocean Territory;IOT;FALSE;FALSE;FALSE;FALSE
Brunei Darussalam;BRN;FALSE;FALSE;FALSE;TRUE
Bulgaria;BGR;FALSE;FALSE;TRUE;FALSE
Burkina Faso;BFA;FALSE;FALSE;FALSE;FALSE
Burundi;BDI;FALSE;FALSE;FALSE;FALSE
Cambodia;KHM;FALSE;FALSE;FALSE;TRUE
Cameroon;CMR;FALSE;FALSE;FALSE;FALSE
Canada;CAN;FALSE;TRUE;FALSE;FALSE
Cape Verde;CPV;FALSE;FALSE;FALSE;FALSE
Cayman Islands;CYM;FALSE;FALSE;FALSE;FALSE
Central African Republic;CAF;FALSE;FALSE;FALSE;FALSE
Chad;TCD;FALSE;FALSE;FALSE;FALSE
Chile;CHL;FALSE;TRUE;FALSE;FALSE
China;CHN;TRUE;FALSE;FALSE;FALSE
Christmas Island;CXR;FALSE;FALSE;FALSE;FALSE
Cocos (Keeling) Islands;CCK;FALSE;FALSE;FALSE;FALSE
Colombia;COL;FALSE;TRUE;FALSE;FALSE
Comoros;COM;FALSE;FALSE;FALSE;FALSE
Congo;COG;FALSE;FALSE;FALSE;FALSE
Congo, the Democratic Republic of the;COD;FALSE;FALSE;FALSE;FALSE
Cook Islands;COK;FALSE;FALSE;FALSE;FALSE
Costa Rica;CRI;FALSE;FALSE;FALSE;FALSE
Cote d Ivoire;CIV;FALSE;FALSE;FALSE;FALSE
Croatia;HRV;FALSE;FALSE;TRUE;FALSE
Cuba;CUB;FALSE;FALSE;FALSE;FALSE
Curacao;CUW;FALSE;FALSE;FALSE;FALSE
Cyprus;CYP;FALSE;FALSE;TRUE;FALSE
Czech Republic;CZE;FALSE;TRUE;TRUE;FALSE
Denmark;DNK;FALSE;TRUE;TRUE;FALSE
Djibouti;DJI;FALSE;FALSE;FALSE;FALSE
Dominica;DMA;FALSE;FALSE;FALSE;FALSE
Dominican Republic;DOM;FALSE;FALSE;FALSE;FALSE
Ecuador;ECU;FALSE;FALSE;FALSE;FALSE
Egypt;EGY;FALSE;FALSE;FALSE;FALSE
El Salvador;SLV;FALSE;FALSE;FALSE;FALSE
Equatorial Guinea;GNQ;FALSE;FALSE;FALSE;FALSE
Eritrea;ERI;FALSE;FALSE;FALSE;FALSE
Estonia;EST;FALSE;TRUE;TRUE;FALSE
Ethiopia;ETH;FALSE;FALSE;FALSE;FALSE
Falkland Islands (Malvinas);FLK;FALSE;FALSE;FALSE;FALSE
Faroe Islands;FRO;FALSE;FALSE;TRUE;FALSE
Fiji;FJI;FALSE;FALSE;FALSE;FALSE
Finland;FIN;FALSE;TRUE;TRUE;FALSE
France;FRA;FALSE;TRUE;TRUE;FALSE
French Guiana;GUF;FALSE;FALSE;FALSE;FALSE
French Polynesia;PYF;FALSE;FALSE;FALSE;FALSE
French Southern Territories;ATF;FALSE;FALSE;FALSE;FALSE
Gabon;GAB;FALSE;FALSE;FALSE;FALSE
Gambia;GMB;FALSE;FALSE;FALSE;FALSE
Georgia;GEO;FALSE;FALSE;FALSE;FALSE
Germany;DEU;FALSE;TRUE;TRUE;FALSE
Ghana;GHA;FALSE;FALSE;FALSE;FALSE
Gibraltar;GIB;FALSE;FALSE;TRUE;FALSE
Greece;GRC;FALSE;TRUE;TRUE;FALSE
Greenland;GRL;FALSE;FALSE;FALSE;FALSE
Grenada;GRD;FALSE;FALSE;FALSE;FALSE
Guadeloupe;GLP;FALSE;FALSE;FALSE;FALSE
Guam;GUM;FALSE;FALSE;FALSE;FALSE
Guatemala;GTM;FALSE;FALSE;FALSE;FALSE
Guernsey;GGY;FALSE;FALSE;TRUE;FALSE
Guinea;GIN;FALSE;FALSE;FALSE;FALSE
Guinea-Bissau;GNB;FALSE;FALSE;FALSE;FALSE
Guyana;GUY;FALSE;FALSE;FALSE;FALSE
Haiti;HTI;FALSE;FALSE;FALSE;FALSE
Heard Island and McDonald Islands;HMD;FALSE;FALSE;FALSE;FALSE
Holy See (Vatican City State);VAT;FALSE;FALSE;FALSE;FALSE
Honduras;HND;FALSE;FALSE;FALSE;FALSE
Hong Kong;HKG;FALSE;FALSE;FALSE;FALSE
Hungary;HUN;FALSE;TRUE;TRUE;FALSE
Iceland;ISL;FALSE;TRUE;FALSE;FALSE
India;IND;TRUE;FALSE;FALSE;FALSE
Indonesia;IDN;FALSE;FALSE;FALSE;TRUE
Iran, Islamic Republic of;IRN;FALSE;FALSE;FALSE;FALSE
Iraq;IRQ;FALSE;FALSE;FALSE;FALSE
Ireland;IRL;FALSE;TRUE;TRUE;FALSE
Isle of Man;IMN;FALSE;FALSE;TRUE;FALSE
Israel;ISR;FALSE;TRUE;FALSE;FALSE
Italy;ITA;FALSE;TRUE;TRUE;FALSE
Jamaica;JAM;FALSE;FALSE;FALSE;FALSE
Japan;JPN;FALSE;TRUE;FALSE;FALSE
Jersey;JEY;FALSE;FALSE;TRUE;FALSE
Jordan;JOR;FALSE;FALSE;FALSE;FALSE
Kazakhstan;KAZ;FALSE;FALSE;FALSE;FALSE
Kenya;KEN;FALSE;FALSE;FALSE;FALSE
Kiribati;KIR;FALSE;FALSE;FALSE;FALSE
Korea, Democratic People's Republic of;PRK;FALSE;FALSE;FALSE;FALSE
Korea, Republic of;KOR;FALSE;TRUE;FALSE;FALSE
Kuwait;KWT;FALSE;FALSE;FALSE;FALSE
Kyrgyzstan;KGZ;FALSE;FALSE;FALSE;FALSE
Lao People's Democratic Republic;LAO;FALSE;FALSE;FALSE;TRUE
Latvia;LVA;FALSE;TRUE;TRUE;FALSE
Lebanon;LBN;FALSE;FALSE;FALSE;FALSE
Lesotho;LSO;FALSE;FALSE;FALSE;FALSE
Liberia;LBR;FALSE;FALSE;FALSE;FALSE
Libya;LBY;FALSE;FALSE;FALSE;FALSE
Liechtenstein;LIE;FALSE;FALSE;FALSE;FALSE
Lithuania;LTU;FALSE;TRUE;TRUE;FALSE
Luxembourg;LUX;FALSE;TRUE;TRUE;FALSE
Macao;MAC;FALSE;FALSE;FALSE;FALSE
Macedonia, the former Yugoslav Republic of;MKD;FALSE;FALSE;FALSE;FALSE
Madagascar;MDG;FALSE;FALSE;FALSE;FALSE
Malawi;MWI;FALSE;FALSE;FALSE;FALSE
Malaysia;MYS;FALSE;FALSE;FALSE;TRUE
Maldives;MDV;FALSE;FALSE;FALSE;FALSE
Mali;MLI;FALSE;FALSE;FALSE;FALSE
Malta;MLT;FALSE;FALSE;TRUE;FALSE
Marshall Islands;MHL;FALSE;FALSE;FALSE;FALSE
