X;CountryCode;RegionCode
Aruba;ABW;RCAM
Afghanistan;AFG;RSAS
Angola;AGO;RSAF
Anguilla;AIA;RCAM
Aland Islands;ALA;WEU
Albania;ALB;CEU
Andorra;AND;WEU
United Arab Emirates;ARE;ME
Argentina;ARG;RSAM
Armenia;ARM;RUS
American Samoa;ASM;OCE
French Southern Territories;ATF;RSAS
Antigua and Barbuda;ATG;RCAM
Australia;AUS;OCE
Austria;AUT;WEU
Azerbaijan;AZE;RUS
Burundi;BDI;EAF
Belgium;BEL;WEU
Benin;BEN;WAF
Bonaire, Sint Eustatius and Saba;BES;RCAM
Burkina Faso;BFA;WAF
Bangladesh;BGD;RSAS
Bulgaria;BGR;CEU
Bahrain;BHR;ME
Bahamas;BHS;RCAM
Bosnia and Herzegovina;BIH;CEU
Saint Barthelemy;BLM;RCAM
Belarus;BLR;UKR
Belize;BLZ;RCAM
Bermuda;BMU;RCAM
Bolivia, Plurinational State of;BOL;RSAM
Brazil;BRA;BRA
Barbados;BRB;RCAM
Brunei Darussalam;BRN;SEAS
Bhutan;BTN;RSAS
Bouvet Island;BVT;WEU
Botswana;BWA;RSAF
Central African Republic;CAF;WAF
Canada;CAN;CAN
Cocos (Keeling) Islands;CCK;OCE
Switzerland;CHE;WEU
Chile;CHL;RSAM
China;CHN;CHN
Cote d Ivoire;CIV;WAF
Cameroon;CMR;WAF
Congo, the Democratic Republic of the;COD;WAF
Congo;COG;WAF
Cook Islands;COK;OCE
Colombia;COL;RSAM
Comoros;COM;EAF
Cape Verde;CPV;WAF
Costa Rica;CRI;RCAM
Cuba;CUB;RCAM
Curacao;CUW;RCAM
Christmas Island;CXR;OCE
Cayman Islands;CYM;RCAM
Cyprus;CYP;CEU
Czech Republic;CZE;CEU
Germany;DEU;WEU
Djibouti;DJI;EAF
Dominica;DMA;RCAM
Denmark;DNK;WEU
Dominican Republic;DOM;RCAM
Algeria;DZA;NAF
Ecuador;ECU;RSAM
Egypt;EGY;NAF
Eritrea;ERI;EAF
Western Sahara;ESH;NAF
Spain;ESP;WEU
Estonia;EST;CEU
Ethiopia;ETH;EAF
Finland;FIN;WEU
Fiji;FJI;OCE
