X;CountryCode;RegionCode;RegionAbbreviation
Aruba;ABW;Central America;RCAM
Afghanistan;AFG;Rest of South Asia;RSAS
Angola;AGO;Rest of South Africa;RSAF
Anguilla;AIA;Central America;RCAM
Albania;ALB;Central Europe;CEU
Andorra;AND;West Europe;WEU
United Arab Emirates;ARE;Middle East;ME
Argentina;ARG;Rest of South-America;RSAM
Armenia;ARM;Russia;RUS
American Samoa;ASM;Oceania;OCE
Australia;AUS;Oceania;OCE
Austria;AUT;West Europe;WEU
Azerbaijan;AZE;Russia;RUS
Burundi;BDI;East Africa;EAF
Belgium;BEL;West Europe;WEU
Benin;BEN;West Africa;WAF
Burkina Faso;BFA;West Africa;WAF
Bangladesh;BGD;Rest of South Asia;RSAS
Bulgaria;BGR;Central Europe;CEU
Bahrain;BHR;Middle East;ME
Bahamas;BHS;Central America;RCAM
Bosnia and Herzegovina;BIH;Central Europe;CEU
Belarus;BLR;Ukraine region;UKR
Belize;BLZ;Central America;RCAM
Bermuda;BMU;Central America;RCAM
Bolivia, Plurinational State of;BOL;Rest of South-America;RSAM
Brazil;BRA;Brazil;BRA
Barbados;BRB;Central America;RCAM
Brunei Darussalam;BRN;South East Asia;SEAS
Bhutan;BTN;Rest of South Asia;RSAS
Botswana;BWA;Rest of South Africa;RSAF
Central African Republic;CAF;West Africa;WAF
Canada;CAN;Canada;CAN
Switzerland;CHE;West Europe;WEU
Chile;CHL;Rest of South-America;RSAM
China;CHN;China+;CHN
Cote d Ivoire;CIV;West Africa;WAF
Cameroon;CMR;West Africa;WAF
Congo, the Democratic Republic of the;COD;West Africa;WAF
Congo;COG;West Africa;WAF
Cook Islands;COK;Oceania;OCE
Colombia;COL;Rest of South-America;RSAM
Comoros;COM;East Africa;EAF
Cape Verde;CPV;West Africa;WAF
Costa Rica;CRI;Central America;RCAM
Cayman Islands;CYM;Central America;RCAM
Cyprus;CYP;Central Europe;CEU
Czech Republic;CZE;Central Europe;CEU
Germany;DEU;West Europe;WEU
Djibouti;DJI;East Africa;EAF
Dominica;DMA;Central America;RCAM
Denmark;DNK;West Europe;WEU
Dominican Republic;DOM;Central America;RCAM
Algeria;DZA;North Africa;NAF
Ecuador;ECU;Rest of South-America;RSAM
Egypt;EGY;North Africa;NAF
Eritrea;ERI;East Africa;EAF
Western Sahara;ESH;North Africa;NAF
Spain;ESP;West Europe;WEU
Estonia;EST;Central Europe;CEU
Ethiopia;ETH;East Africa;EAF
Finland;FIN;West Europe;WEU
Fiji;FJI;Oceania;OCE
Falkland Islands (Malvinas);FLK;Rest of South-America;RSAM
France;FRA;West Europe;WEU
Faroe Islands;FRO;West Europe;WEU
Micronesia, Federated States of;FSM;South East Asia;OCE
Gabon;GAB;West Africa;WAF
United Kingdom;GBR;West Europe;WEU
Georgia;GEO;Russia;RUS
Ghana;GHA;West Africa;WAF
Gibraltar;GIB;West Europe;WEU
Guinea;GIN;West Africa;WAF
Guadeloupe;GLP;Central America;RCAM
Gambia;GMB;West Africa;WAF
Guinea-Bissau;GNB;West Africa;WAF
Equatorial Guinea;GNQ;West Africa;WAF
Greece;GRC;West Europe;WEU
Grenada;GRD;Central America;RCAM
Guatemala;GTM;Central America;RCAM
French Guiana;GUF;Rest of South-America;RSAM
Guyana;GUY;Rest of South-America;RSAM
Hong Kong;HKG;China+;CHN
Honduras;HND;Central America;RCAM
Croatia;HRV;Central Europe;CEU
Haiti;HTI;Central America;RCAM
Hungary;HUN;Central Europe;CEU
Indonesia;IDN;Indonesia;INDO
India;IND;India;INDIA
Ireland;IRL;West Europe;WEU
Iran, Islamic Republic of;IRN;Middle East;ME
Iraq;IRQ;Middle East;ME
Iceland;ISL;West Europe;WEU
Israel;ISR;Middle East;ME
Italy;ITA;West Europe;WEU
Jamaica;JAM;Central America;RCAM
Jordan;JOR;Middle East;ME
Japan;JPN;Japan;JAP
Kazakhstan;KAZ;Kazachstan;STAN
Kenya;KEN;East Africa;EAF
