AGEB_variable;REMIND_variable;Unit_REMIND;Unit_AGEB;Factor;Comment
1_1 Primaerenergiegewinnung im Inland nach Energietraegern|Steinkohle;;;;;
1_1 Primaerenergiegewinnung im Inland nach Energietraegern|Braunkohle;;;;;
1_1 Primaerenergiegewinnung im Inland nach Energietraegern|Mineralöle;;;;;
1_1 Primaerenergiegewinnung im Inland nach Energietraegern|Gase;;;;;
1_1 Primaerenergiegewinnung im Inland nach Energietraegern|Erdgas, Erdölgas;;;;;
1_1 Primaerenergiegewinnung im Inland nach Energietraegern|Erneuerbare Energien;;;;;
1_1 Primaerenergiegewinnung im Inland nach Energietraegern|Sonstige Energieträger;;;;;
1_1 Primaerenergiegewinnung im Inland nach Energietraegern|Insgesamt;;;;;
1_2 Einfuhr|Steinkohle;Trade|Imports|Coal;EJ/yr;PJ;0.001;
1_2 Einfuhr|Braunkohle;Trade|Imports|Coal;EJ/yr;PJ;0.001;
1_2 Einfuhr|Mineralöle;Trade|Imports|Oil;EJ/yr;PJ;0.001;
1_2 Einfuhr|Gase;Trade|Imports|Gas;EJ/yr;PJ;0.001;
1_2 Einfuhr|Erdgas, Erdölgas;;;;;
1_2 Einfuhr|Erneuerbare Energien;;;;;
1_2 Einfuhr|Sonstige Energieträger;;;;;
1_2 Einfuhr|Strom;Trade|Imports|SE|Electricity;EJ/yr;PJ;0.001;
1_2 Einfuhr|Kernenergie;;;;;
1_2 Einfuhr|Insgesamt;;;;;
1_3 Ausfuhr|Steinkohle;Trade|Exports|Coal;EJ/yr;PJ;0.001;
1_3 Ausfuhr|Braunkohle;Trade|Exports|Coal;EJ/yr;PJ;0.001;
1_3 Ausfuhr|Mineralöle;Trade|Exports|Oil;EJ/yr;PJ;0.001;
1_3 Ausfuhr|Gase;Trade|Exports|Gas;EJ/yr;PJ;0.001;
1_3 Ausfuhr|Erdgas, Erdölgas;;;;;
1_3 Ausfuhr|Erneuerbare Energien;;;;;
1_3 Ausfuhr|Sonstige Energieträger;;;;;
1_3 Ausfuhr|Strom;Trade|Exports|SE|Electricity;EJ/yr;PJ;0.001;
1_3 Ausfuhr|Kernenergie;;;;;
1_3 Ausfuhr|Insgesamt;;;;;
1_4 Nettoeinfuhr|Steinkohle;Trade|Coal;EJ/yr;PJ;-0.001;
1_4 Nettoeinfuhr|Braunkohle;Trade|Coal;EJ/yr;PJ;-0.001;
1_4 Nettoeinfuhr|Mineralöle;Trade|Oil;EJ/yr;PJ;-0.001;
1_4 Nettoeinfuhr|Gase;Trade|Gas;EJ/yr;PJ;-0.001;
1_4 Nettoeinfuhr|Erdgas, Erdölgas;;;;;
1_4 Nettoeinfuhr|Erneuerbare Energien;;;;;
1_4 Nettoeinfuhr|Sonstige Energieträger;;;;;
1_4 Nettoeinfuhr|Strom;Trade|SE|Electricity;EJ/yr;PJ;0.001;
1_4 Nettoeinfuhr|Kernenergie;;;;;
1_4 Nettoeinfuhr|Insgesamt;;;;;
1_5 Bunkerungen seegehender Schiffe|Dieselkraftstoff;;;;;
1_5 Bunkerungen seegehender Schiffe|Heizöl, leicht;;;;;
1_5 Bunkerungen seegehender Schiffe|Heizöl, schwer;;;;;
1_5 Bunkerungen seegehender Schiffe|Andere Mineralölprodukte;;;;;
1_5 Bunkerungen seegehender Schiffe|Insgesamt;;;;;
2_1 Primaerenergieverbrauch nach Energietraegern|Steinkohle;PE|Coal;EJ/yr;PJ;0.001;
2_1 Primaerenergieverbrauch nach Energietraegern|Braunkohle;PE|Coal;EJ/yr;PJ;0.001;
2_1 Primaerenergieverbrauch nach Energietraegern|Mineralöle;PE|Oil;EJ/yr;PJ;0.001;
2_1 Primaerenergieverbrauch nach Energietraegern|Gase;PE|Gas;EJ/yr;PJ;0.001;
2_1 Primaerenergieverbrauch nach Energietraegern|Erdgas, Erdölgas;;;;;
2_1 Primaerenergieverbrauch nach Energietraegern|Erneuerbare Energien;;;;;
2_1 Primaerenergieverbrauch nach Energietraegern|Sonstige Energieträger;;;;;
2_1 Primaerenergieverbrauch nach Energietraegern|Außenhandelssaldo Strom;;;;;
2_1 Primaerenergieverbrauch nach Energietraegern|Kernenergie;PE|Nuclear;EJ/yr;PJ;0.001;
2_1 Primaerenergieverbrauch nach Energietraegern|Insgesamt;PE;EJ/yr;PJ;0.001;
2_2 Struktur des Energieverbrauchs nach Sektoren|Gewinnung im Inland;;;;;
2_2 Struktur des Energieverbrauchs nach Sektoren|Primärenergieverbrauch;;;;;
2_2 Struktur des Energieverbrauchs nach Sektoren|Umwandlungseinsatz;;;;;
2_2 Struktur des Energieverbrauchs nach Sektoren|Umwandlungsausstoß;;;;;
2_2 Struktur des Energieverbrauchs nach Sektoren|Sonst_ E_-Verbr_, Verluste;;;;;
2_2 Struktur des Energieverbrauchs nach Sektoren|Nicht-energetischer Verbrauch;FE|Non-energy Use|Industry;EJ/yr;PJ;0.001;
2_2 Struktur des Energieverbrauchs nach Sektoren|Endenergieverbrauch;FE|w/o Non-energy Use w/o Bunkers;EJ/yr;PJ;0.001;
2_2 Struktur des Energieverbrauchs nach Sektoren|Bergbau, Verarb_ Gewerbe;FE|w/o Non-energy Use|Industry;EJ/yr;PJ;0.001;
2_2 Struktur des Energieverbrauchs nach Sektoren|Verkehr;FE|Transport;EJ/yr;PJ;0.001;
2_2 Struktur des Energieverbrauchs nach Sektoren|Private Haushalte;FE|Buildings;EJ/yr;PJ;0.001;
2_2 Struktur des Energieverbrauchs nach Sektoren|Gewerbe, Handel, Dienstl_;FE|Buildings;EJ/yr;PJ;0.001;
3_1 Primaerenergieverbrauch erneuerbare Energien|Wasserkraft;;;;;
3_1 Primaerenergieverbrauch erneuerbare Energien|Windenergie;;;;;
3_1 Primaerenergieverbrauch erneuerbare Energien|Photovoltaik;;;;;
3_1 Primaerenergieverbrauch erneuerbare Energien|Solarthermie;;;;;
3_1 Primaerenergieverbrauch erneuerbare Energien|Geothermie;SE|Heat|Geothermal;EJ/yr;PJ;0.001;
3_1 Primaerenergieverbrauch erneuerbare Energien|Umweltwärme;;;;;
3_1 Primaerenergieverbrauch erneuerbare Energien|Biomasse;SE|Biomass;EJ/yr;PJ;0.001;
3_1 Primaerenergieverbrauch erneuerbare Energien|Biogene Abfälle;;;;;
3_1 Primaerenergieverbrauch erneuerbare Energien|Flüssige Biokraftstoffe;;;;;
3_1 Primaerenergieverbrauch erneuerbare Energien|Insgesamt;;;;;
4_1 Einsatz von Energietraegern zur Stromerzeugung|Steinkohle;PE|Coal|Electricity;EJ/yr;PJ;0.001;
4_1 Einsatz von Energietraegern zur Stromerzeugung|Braunkohle;PE|Coal|Electricity;EJ/yr;PJ;0.001;
4_1 Einsatz von Energietraegern zur Stromerzeugung|Mineralöle;;;;;
4_1 Einsatz von Energietraegern zur Stromerzeugung|Gase;PE|Gas|Electricity;EJ/yr;PJ;0.001;
4_1 Einsatz von Energietraegern zur Stromerzeugung|Erdgas, Erdölgas;;;;;
4_1 Einsatz von Energietraegern zur Stromerzeugung|Erneuerbare Energien;;;;;
4_1 Einsatz von Energietraegern zur Stromerzeugung|Sonstige Energieträger;;;;;
4_1 Einsatz von Energietraegern zur Stromerzeugung|Strom;;;;;
4_1 Einsatz von Energietraegern zur Stromerzeugung|Kernenergie;;;;;
4_1 Einsatz von Energietraegern zur Stromerzeugung|Insgesamt;;;;;
4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Steinkohle;PE|Coal|Heat;EJ/yr;PJ;0.001;
4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Braunkohle;PE|Coal|Heat;EJ/yr;PJ;0.001;
4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Mineralöle;;;;;
4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Gase;PE|Gas|Heat;EJ/yr;PJ;0.001;
4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Erdgas, Erdölgas;;;;;
4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Erneuerbare Energien;;;;;
4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Sonstige Energieträger;;;;;
4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Strom;;;;;
4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Kernenergie;;;;;
4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Insgesamt;;;;;
6_1 Endenergieverbrauch nach Energieträgern|Steinkohle;FE|Solids|Fossil|Coal;EJ/yr;PJ;0.001;
6_1 Endenergieverbrauch nach Energietraegern|Braunkohle;FE|Solids|Fossil|Coal;EJ/yr;PJ;0.001;
6_1 Endenergieverbrauch nach Energietraegern|Mineralöle;FE|Liquids|Fossil|Oil;EJ/yr;PJ;0.001;
6_1 Endenergieverbrauch nach Energietraegern|Gase;FE|Gases|Fossil;EJ/yr;PJ;0.001;
6_1 Endenergieverbrauch nach Energietraegern|Erdgas, Erdölgas;;;;;
6_1 Endenergieverbrauch nach Energietraegern|Erneuerbare Energien;;;;;
6_1 Endenergieverbrauch nach Energietraegern|Sonstige Energieträger;;;;;
6_1 Endenergieverbrauch nach Energietraegern|Strom;FE|Electricity;EJ/yr;PJ;0.001;
