BP,Unit_BP,Weight,Factor,Unit_REMIND,REMIND,conversion remarks,comment
Generation|Wind (TWh),TWh,1,0.0036,EJ/yr,SE|Electricity|Wind,,
Generation|Solar (TWh),TWh,1,0.0036,EJ/yr,SE|Electricity|Solar ,,
Generation|Hydro (TWh),TWh,1,0.0036,EJ/yr,SE|Electricity|Hydro ,,
Generation|Geo_biomass (TWh),TWh,1,0.0036,EJ/yr,,,
Generation|Nuclear (TWh),TWh,1,0.0036,EJ/yr,SE|Electricity|Nuclear,,
Generation|Electricity (TWh),TWh,1,0.0036,EJ/yr,SE|Electricity ,,
Generation|Electricity|Gas (TWh),TWh,1,0.0036,EJ/yr,SE|Electricity|Gas,,
Generation|Electricity|Oil (TWh),TWh,1,0.0036,EJ/yr,SE|Electricity|Oil,,
Generation|Electricity|Coal (TWh),TWh,1,0.0036,EJ/yr,SE|Electricity|Coal ,,
Capacity|Solar (MW),MW,1,0.001,GW,Cap|Electricity|Solar,,
Capacity|Wind (MW),MW,1,0.001,GW,Cap|Electricity|Wind,,
Oil Production (million t),million t,,,,,,
Coal Production (EJ),EJ,,,,,,
Coal Production (million t),t,,,,,,
Gas Production (EJ),EJ,,,,,,
Primary Energy Consumption (EJ),EJ,1,1,EJ/yr,PE,,
Liquids Consumption (kb/d),kb/d,1,0.002233435,EJ/yr,SE|Liquids,"Source: 1 barrel of oil equivalent (boe) = 6.119 million kJ
conversion: 6.119E-6 * 365",
Oil Consumption (EJ),EJ,1,1,EJ/yr,PE|Oil,,
Gas Consumption (EJ),EJ,1,1,EJ/yr,PE|Gas ,,
Coal Consumption (EJ),EJ,1,1,EJ/yr,PE|Coal,,
Solar Consumption (EJ),EJ,1,1,EJ/yr,PE|Solar,,
Wind Consumption (EJ),EJ,1,1,EJ/yr,PE|Wind,,
Nuclear Consumption (EJ),EJ,1,1,EJ/yr,PE|Nuclear,,
Hydro Consumption (EJ),EJ,1,1,EJ/yr,PE|Hydro,,
Trade|Export|Oil (kb/d),kb/d,1,0.002233435,EJ/yr,Trade|Exports|Oil,"Source: 1 barrel of oil equivalent (boe) = 6.119 million kJ
conversion: 6.119E-6 * 365",
Trade|Import|Oil (kb/d),kb/d,1,0.002233435,EJ/yr,Trade|Imports|Oil,,
Net Trade|Oil (kb/d),kb/d,1,0.002233435,EJ/yr,Trade|Oil,,
Trade|Export|Gas (bcm),bcm,1,0.036,EJ/yr,Trade|Exports|Gas,"Source: 1 billion cubic metres NG = 36 PJ NG
conversion: 36/1000",
Trade|Import|Gas (bcm),bcm,1,0.036,EJ/yr,Trade|Imports|Gas,,
Net Trade|Gas (bcm),bcm,1,0.036,EJ/yr,Trade|Gas,,
Trade|Export|Coal (EJ),EJ,1,1,EJ/yr,Trade|Exports|Coal,,
Trade|Import|Coal (EJ),EJ,1,1,EJ/yr,Trade|Imports|Coal,,
Net Trade|Coal (EJ),EJ,1,1,EJ/yr,Trade|Coal,,
Price|Crude Oil ($2020/bbl),$2020/bbl,1,0.12256904722994,US$2005/GJ,Price|Primary Energy|Oil,"Source: $2020 → $2005 = 0.75 (online)
1 barrel of oil equivalent (boe) = 6.119 million kJ
Conversion: 0.75 / 6.119",
Price|Natural Gas ($/mbtu),$/mbtu,1,1.05,US$2005/GJ,Price|Primary Energy|Gas,source: 1 trillion British thermal units = 1.050 petajoules NG,
Price|Coal ($/t),$/t,1,0.025,US$2005/GJ,Price|Primary Energy|Coal,source: 1EJ = 40 million tonnes of hard coal,
Emi|CO2 (Mt CO2),Mt CO2,1,1,Mt CO2/yr,Emi|CO2|Energy,,
