Variable;Unit;REMIND_Variable;REMIND_Unit;Comment;Factor
EV charging points|EV|Publicly available fast;charging points;;;;
EV charging points|EV|Publicly available slow;charging points;;;;
EV sales share|Buses|EV;percent;;;;
EV sales share|Cars|EV;percent;;;;
EV sales share|Trucks|EV;percent;;;;
EV sales share|Vans|EV;percent;;;;
EV sales|Buses|BEV;Vehicles;Sales|Transport|Bus|Electric;Million vehicles;;0.000001
EV sales|Buses|FCEV;Vehicles;Sales|Transport|Bus|FCEV;Million vehicles;;0.000001
EV sales|Buses|PHEV;Vehicles;;;;
EV sales|Cars|BEV;Vehicles;Sales|Transport|Car|Electric;Million vehicles;;0.000001
EV sales|Cars|FCEV;Vehicles;Sales|Transport|Car|FCEV;Million vehicles;;0.000001
EV sales|Cars|PHEV;Vehicles;Sales|Transport|Car|Hybrid Electric;Million vehicles;;0.000001
EV sales|Trucks|BEV;Vehicles;Sales|Transport|Truck|Electric;Million vehicles;;0.000001
EV sales|Trucks|FCEV;Vehicles;Sales|Transport|Truck|FCEV;Million vehicles;;0.000001
EV sales|Trucks|PHEV;Vehicles;;;;
EV sales|Vans|BEV;Vehicles;Sales|Transport|LDV|Van|BEV;Million vehicles;;0.000001
EV sales|Vans|FCEV;Vehicles;Sales|Transport|LDV|Van|FCEV;Million vehicles;;0.000001
EV sales|Vans|PHEV;Vehicles;Sales|Transport|LDV|Van|Hybrid Electric;Million vehicles;;0.000001
EV stock share|Buses|EV;percent;;;;
EV stock share|Cars|EV;percent;;;;
EV stock share|Trucks|EV;percent;;;;
EV stock share|Vans|EV;percent;;;;
EV stock|Buses|BEV;Vehicles;Stock|Transport|Bus|Electric;Million vehicles;;0.000001
EV stock|Buses|FCEV;Vehicles;Stock|Transport|Bus|FCEV;Million vehicles;;0.000001
EV stock|Buses|PHEV;Vehicles;;;;
EV stock|Cars|BEV;Vehicles;Stock|Transport|Car|Electric;Million vehicles;;0.000001
EV stock|Cars|FCEV;Vehicles;Sales|Transport|Car|FCEV;Million vehicles;;0.000001
EV stock|Cars|PHEV;Vehicles;Stock|Transport|Car|Hybrid Electric;Million vehicles;;0.000001
EV stock|Trucks|BEV;Vehicles;Stock|Transport|Truck|Electric;Million vehicles;;0.000001
EV stock|Trucks|FCEV;Vehicles;Stock|Transport|Truck|FCEV;Million vehicles;;0.000001
EV stock|Trucks|PHEV;Vehicles;;;;
EV stock|Vans|BEV;Vehicles;Stock|Transport|LDV|Van|BEV;Million vehicles;;0.000001
EV stock|Vans|FCEV;Vehicles;Stock|Transport|LDV|Van|FCEV;Million vehicles;;0.000001
EV stock|Vans|PHEV;Vehicles;Stock|Transport|LDV|Van|Hybrid Electric;Million vehicles;;0.000001
Electricity demand|Buses|EV;GWh;FE|Transport|Pass|Road|Bus|Electricity;EJ/yr;;0.0000036
Electricity demand|Cars|EV;GWh;FE|Transport|Pass|Road|LDV|Electricity;EJ/yr;Contains PHEV, but should be small;0.0000036
Electricity demand|Trucks|EV;GWh;FE|Transport|Freight|Road|Electricity;EJ/yr;Contains light trucks, see below;0.0000036
Electricity demand|Vans|EV;GWh;FE|Transport|Freight|Road|Truck (0-3$dot$5t)|Electricity;EJ/yr;;0.0000036
Oil displacement Mbd|Buses|EV;Milion barrels per day;;;;
Oil displacement Mbd|Cars|EV;Milion barrels per day;;;;
Oil displacement Mbd|Trucks|EV;Milion barrels per day;;;;
Oil displacement Mbd|Vans|EV;Milion barrels per day;;;;
Oil displacement, million lge|Buses|EV;Oil displacement, million lge;;;;
Oil displacement, million lge|Cars|EV;Oil displacement, million lge;;;;
Oil displacement, million lge|Trucks|EV;Oil displacement, million lge;;;;
Oil displacement, million lge|Vans|EV;Oil displacement, million lge;;;;
