WEO;Unit_WEO;REMIND;Conversion;Unit_REMIND
Capacity-Battery storage total-Installed total power capacity;GW;Cap|Electricity|Storage|Battery;1;GW
Capacity-Bioenergy and waste-Installed total power capacity;GW;Cap|Electricity|Biomass;1;GW
Capacity-Bioenergy with CCUS-Installed total power capacity;GW;Cap|Electricity|Biomass|w/ CC;1;GW
Capacity-Coal unabated-Installed total power capacity;GW;Cap|Electricity|Coal|w/o CC;1;GW
Capacity-Coal with CCUS-Installed total power capacity;GW;Cap|Electricity|Coal|w/ CC;1;GW
Capacity-Concentrating solar power-Installed total power capacity;GW;Cap|Electricity|Solar|CSP;1;GW
Capacity-Fossil fuels unabated-Installed total power capacity;GW;Cap|Electricity|Fossil|w/o CC;1;GW
Capacity-Fossil fuels with CCUS-Installed total power capacity;GW;Cap|Electricity|Fossil|w/ CC;1;GW
Capacity-Gas with CCUS-Installed total power capacity;GW;Cap|Electricity|Gas|w/ CC;1;GW
Capacity-Geothermal-Installed total power capacity;GW;Cap|Electricity|Geothermal;1;GW
Capacity-Hydro-Installed total power capacity;GW;Cap|Electricity|Hydro;1;GW
Capacity-Hydrogen based fuels-Installed total power capacity;GW;Cap|Electricity|Hydrogen;1;GW
Capacity-Natural gas unabated-Installed total power capacity;GW;Cap|Electricity|Gas|w/o CC;1;GW
Capacity-Nuclear-Installed total power capacity;GW;Cap|Electricity|Nuclear;1;GW
Capacity-Oil products-Installed total power capacity;GW;Cap|Electricity|Oil;1;GW
Capacity-Renewables-Installed total power capacity;GW;;;
Capacity-Solar PV-Installed total power capacity;GW;Cap|Electricity|Solar|PV;1;GW
Capacity-Tide and wave-Installed total power capacity;GW;;;
Capacity-Total-Installed total power capacity;GW;Cap|Electricity;1;GW
Capacity-Wind-Installed total power capacity;GW;Cap|Electricity|Wind;1;GW
CO2 atmospheric removal-Total-Direct air capture;Mt CO2;Emi|CO2|CDR|DACCS;-1;Mt CO2/yr
CO2 atmospheric removal-Total-Direct air capture;Mt CO2;Emi|CO2|CDR|BECCS;1;Mt CO2/yr
CO2 combustion and processes emissions-Total-Cement;Mt CO2;;;
CO2 combustion and processes emissions-Total-Chemical and petrochemical;Mt CO2;;;
CO2 combustion and processes emissions-Total-Industry;Mt CO2;;;
CO2 combustion and processes emissions-Total-Iron and steel;Mt CO2;;;
CO2 combustion and processes emissions-Total-Other energy sector;Mt CO2;;;
CO2 combustion and processes emissions-Total-Total final consumption;Mt CO2;;;
CO2 combustion-Bioenergy and waste-Power sector inputs;Mt CO2;;;
CO2 combustion-Bioenergy and waste-Total final consumption;Mt CO2;;;
CO2 combustion-Bioenergy and waste-Total primary energy demand;Mt CO2;;;
CO2 combustion-Coal-Power sector inputs;Mt CO2;;;
