"REMIND_variable";"Comment";"JRC_variable";"JRC_Excel";"JRC_spreadsheet";"JRC_line ";"Weight";"Unit_REMIND";"Unit_JRC";"Factor";"JRC_complete"
"FE|Industry";"Energy consumption ";"by fuel (EUROSTAT DATA)";"JRC-IDEES-2015_Industry_";"Ind_Summary";29;1;"EJ/yr";"ktoe";4.1868E-05;"Industry Summary|Energy consumption|by fuel (EUROSTAT DATA)"
"FE|Industry";"Non-energy use";"by fuel (EUROSTAT DATA)";"JRC-IDEES-2015_Industry_";"Ind_Summary";80;1;"EJ/yr";"ktoe";4.1868E-05;"Industry Summary|Non-energy use|by fuel (EUROSTAT DATA)"
"FE|Industry";"Agriculture/Forestry/Fishing";"All Products";"JRC-IDEES-2015_EnergyBalance_";"cagr";2;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Agriculture+Forestry+Fishing|All Products"
"FE|Industry";"Transf. Input Coke Ovens";"All Products";"JRC-IDEES-2015_EnergyBalance_";"tick";2;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Transformation input - Coke Ovens|All Products"
"FE|Industry";"Transf. Input Blast Furnace";"All Products";"JRC-IDEES-2015_EnergyBalance_";"tibf";2;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Transformation input - Blast Furnaces|All Products"
"FE|Industry";"Transf. Output Coke Ovens";"All Products";"JRC-IDEES-2015_EnergyBalance_";"tock";2;-1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Transformation output - Coke Ovens|All Products"
"FE|Industry";"Transf. Output Blast Furnace";"All Products";"JRC-IDEES-2015_EnergyBalance_";"tobf";2;-1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Transformation output - Blast Furnaces|All Products"
"FE|Industry";"Consumption Coke Ovens";"All Products";"JRC-IDEES-2015_EnergyBalance_";"cenck";2;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Consumption in Coke Ovens|All Products"
"FE|Industry";"Consumption Blast Furnaces";"All Products";"JRC-IDEES-2015_EnergyBalance_";"cenbf";2;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Consumption in Blast Furnaces|All Products"
"FE|w/o Non-energy Use|Industry";"Energy consumption ";"by fuel (EUROSTAT DATA)";"JRC-IDEES-2015_Industry_";"Ind_Summary";29;1;"EJ/yr";"ktoe";4.1868E-05;"Industry Summary|Energy consumption|by fuel (EUROSTAT DATA)"
"FE|w/o Non-energy Use|Industry";"Agriculture/Forestry/Fishing";"All Products";"JRC-IDEES-2015_EnergyBalance_";"cagr";2;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Agriculture+Forestry+Fishing|All Products"
"FE|w/o Non-energy Use|Industry";"Transf. Input Coke Ovens";"All Products";"JRC-IDEES-2015_EnergyBalance_";"tick";2;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Transformation input - Coke Ovens|All Products"
"FE|w/o Non-energy Use|Industry";"Transf. Input Blast Furnace";"All Products";"JRC-IDEES-2015_EnergyBalance_";"tibf";2;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Transformation input - Blast Furnaces|All Products"
"FE|w/o Non-energy Use|Industry";"Transf. Output Coke Ovens";"All Products";"JRC-IDEES-2015_EnergyBalance_";"tock";2;-1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Transformation output - Coke Ovens|All Products"
"FE|w/o Non-energy Use|Industry";"Transf. Output Blast Furnace";"All Products";"JRC-IDEES-2015_EnergyBalance_";"tobf";2;-1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Transformation output - Blast Furnaces|All Products"
"FE|w/o Non-energy Use|Industry";"Consumption Coke Ovens";"All Products";"JRC-IDEES-2015_EnergyBalance_";"cenck";2;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Consumption in Coke Ovens|All Products"
"FE|w/o Non-energy Use|Industry";"Consumption Blast Furnaces";"All Products";"JRC-IDEES-2015_EnergyBalance_";"cenbf";2;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Consumption in Blast Furnaces|All Products"
"FE|Industry|Solids";"Energy consumption ";"Solids";"JRC-IDEES-2015_Industry_";"Ind_Summary";30;1;"EJ/yr";"ktoe";4.1868E-05;"Industry Summary|Energy consumption|by fuel (EUROSTAT DATA)|Solids"
"FE|Industry|Solids";"Energy consumption ";"Biomass and wastes";"JRC-IDEES-2015_Industry_";"Ind_Summary";43;1;"EJ/yr";"ktoe";4.1868E-05;"Industry Summary|Energy consumption|by fuel (EUROSTAT DATA)|RES and wastes|Biomass and wastes"
"FE|Industry|Solids";"Non-energy use";"Solids";"JRC-IDEES-2015_Industry_";"Ind_Summary";81;1;"EJ/yr";"ktoe";4.1868E-05;"Industry Summary|Non-energy use|by fuel (EUROSTAT DATA)|Solids"
"FE|Industry|Solids";"Agriculture/Forestry/Fishing";"Solid Fuels";"JRC-IDEES-2015_EnergyBalance_";"cagr";3;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Agriculture+Forestry+Fishing|Solid Fuels"
"FE|Industry|Solids";"Agriculture/Forestry/Fishing";"Solid biofuels (Wood & Wood waste)";"JRC-IDEES-2015_EnergyBalance_";"cagr";69;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Agriculture+Forestry+Fishing|Solid biofuels (Wood & Wood waste)"
"FE|Industry|Solids";"Agriculture/Forestry/Fishing";"Charcoal";"JRC-IDEES-2015_EnergyBalance_";"cagr";70;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Agriculture+Forestry+Fishing|Charcoal"
"FE|Industry|Solids";"Agriculture/Forestry/Fishing";"Municipal waste (renewable)";"JRC-IDEES-2015_EnergyBalance_";"cagr";72;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Agriculture+Forestry+Fishing|Municipal waste (renewable)"
"FE|Industry|Solids";"Agriculture/Forestry/Fishing";"Wastes (non-renewable)";"JRC-IDEES-2015_EnergyBalance_";"cagr";80;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Agriculture+Forestry+Fishing|Wastes (non-renewable)"
"FE|Industry|Solids";"Transf. Input Coke Ovens";"Solid Fuels";"JRC-IDEES-2015_EnergyBalance_";"tick";3;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Transformation input - Coke Ovens|Solid Fuels"
"FE|Industry|Solids";"Transf. Input Coke Ovens";"Solid biofuels (Wood & Wood waste)";"JRC-IDEES-2015_EnergyBalance_";"tick";69;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Transformation input - Coke Ovens|Solid biofuels (Wood & Wood waste)"
"FE|Industry|Solids";"Transf. Input Coke Ovens";"Charcoal";"JRC-IDEES-2015_EnergyBalance_";"tick";70;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Transformation input - Coke Ovens|Charcoal"
"FE|Industry|Solids";"Transf. Input Coke Ovens";"Municipal waste (renewable)";"JRC-IDEES-2015_EnergyBalance_";"tick";72;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Transformation input - Coke Ovens|Municipal waste (renewable)"
"FE|Industry|Solids";"Transf. Input Coke Ovens";"Wastes (non-renewable)";"JRC-IDEES-2015_EnergyBalance_";"tick";80;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Transformation input - Coke Ovens|Wastes (non-renewable)"
"FE|Industry|Solids";"Transf. Input Blast Furnace";"Solid Fuels";"JRC-IDEES-2015_EnergyBalance_";"tibf";3;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Transformation input - Blast Furnaces|Solid Fuels"
"FE|Industry|Solids";"Transf. Input Blast Furnace";"Solid biofuels (Wood & Wood waste)";"JRC-IDEES-2015_EnergyBalance_";"tibf";69;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Transformation input - Blast Furnaces|Solid biofuels (Wood & Wood waste)"
"FE|Industry|Solids";"Transf. Input Blast Furnace";"Charcoal";"JRC-IDEES-2015_EnergyBalance_";"tibf";70;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Transformation input - Blast Furnaces|Charcoal"
