UNFCCC;Factor;REMIND;Unit_REMIND
1. Energy|CH4;0.001;Emi|CH4|w/o Bunkers|Energy;Mt CH4/yr
1. Energy|CO2;0.001;Emi|CO2|w/o Bunkers|Energy;Mt CO2/yr
1. Energy|N2O;1;Emi|N2O|w/o Bunkers|Energy;kt N2O/yr
1.A. Fuel combustion activities|CH4;;;
1.A. Fuel combustion activities|CO;;;
1.A. Fuel combustion activities|CO2;;;
1.A. Fuel combustion activities|N2O;;;
1.A. Fuel combustion activities|NMVOC;;;
1.A. Fuel combustion activities|NOX;;;
1.A. Fuel combustion activities|SO2;;;
1.A. Fuel combustion|CH4;;;
1.A. Fuel combustion|CO2;;;
1.A. Fuel combustion|N2O;;;
1.A.1. Energy industries|CH4;0.001;Emi|CH4|Energy|Supply;Mt CH4/yr
1.A.1. Energy industries|CO;;;
1.A.1. Energy industries|CO2;0.001;Emi|CO2|Energy|Supply;Mt CO2/yr
1.A.1. Energy industries|N2O;1;Emi|N2O|Energy|Supply;kt N2O/yr
1.A.1. Energy industries|NMVOC;;;
1.A.1. Energy industries|NOX;;;
1.A.1. Energy industries|SO2;;;
1.A.1.a. Public electricity and heat production|CH4;0.001;Emi|CH4|Energy|Supply|Electricity and Heat;Mt CH4/yr
1.A.1.a. Public electricity and heat production|CO;;;
1.A.1.a. Public electricity and heat production|CO2;0.001;Emi|CO2|Energy|Supply|Electricity and Heat;Mt CO2/yr
1.A.1.a. Public electricity and heat production|N2O;1;Emi|N2O|Energy|Supply|Electricity and Heat;kt N2O/yr
1.A.1.a. Public electricity and heat production|NMVOC;;;
1.A.1.a. Public electricity and heat production|NOX;;;
1.A.1.a. Public electricity and heat production|SO2;;;
1.A.1.b. Petroleum refining|CH4;0.001;Emi|CH4|Energy|Supply|Liquids;Mt CH4/yr
1.A.1.b. Petroleum refining|CO;;;
1.A.1.b. Petroleum refining|CO2;0.001;Emi|CO2|Energy|Supply|Liquids w/ couple prod;Mt CO2/yr
1.A.1.b. Petroleum refining|N2O;1;Emi|N2O|Energy|Supply|Liquids;kt N2O/yr
1.A.1.b. Petroleum refining|NMVOC;;;
1.A.1.b. Petroleum refining|NOX;;;
1.A.1.b. Petroleum refining|SO2;;;
1.A.1.c. Manufacture of solid fuels and other energy industries|CH4;0.001;Emi|CH4|Energy|Supply|Solids;Mt CH4/yr
1.A.1.c. Manufacture of solid fuels and other energy industries|CO;;;
1.A.1.c. Manufacture of solid fuels and other energy industries|CO2;0.001;Emi|CO2|Energy|Supply|Solids w/ couple prod;Mt CO2/yr
1.A.1.c. Manufacture of solid fuels and other energy industries|N2O;1;Emi|N2O|Energy|Supply|Solids;kt N2O/yr
1.A.1.c. Manufacture of solid fuels and other energy industries|NMVOC;;;
1.A.1.c. Manufacture of solid fuels and other energy industries|NOX;;;
1.A.1.c. Manufacture of solid fuels and other energy industries|SO2;;;
1.A.2. Manufacturing industries and construction|CH4;0.001;Emi|CH4|Energy|Demand|Industry;Mt CH4/yr
1.A.2. Manufacturing industries and construction|CO;;;
1.A.2. Manufacturing industries and construction|CO2;0.001;Emi|CO2|Energy|Demand|Industry;Mt CO2/yr
1.A.2. Manufacturing industries and construction|N2O;1;Emi|N2O|Energy|Demand|Industry;kt N2O/yr
1.A.2. Manufacturing industries and construction|NMVOC;;;
1.A.2. Manufacturing industries and construction|NOX;;;
1.A.2. Manufacturing industries and construction|SO2;;;
1.A.2.a. Iron and steel|CH4;0.001;Emi|CH4|Energy|Demand|Industry|Steel;Mt CH4/yr
1.A.2.a. Iron and steel|CO;;;
1.A.2.a. Iron and steel|CO2;0.001;Emi|CO2|Energy|Demand|Industry|Steel;Mt CO2/yr
1.A.2.a. Iron and steel|N2O;1;Emi|N2O|Energy|Demand|Industry|Steel;kt N2O/yr
1.A.2.a. Iron and steel|NMVOC;;;
1.A.2.a. Iron and steel|NOX;;;
1.A.2.a. Iron and steel|SO2;;;
1.A.2.b. Non-ferrous metals|CH4;0.001;Emi|CH4|Energy|Demand|Industry|Other Industry;Mt CH4/yr
1.A.2.b. Non-ferrous metals|CO;;;
1.A.2.b. Non-ferrous metals|CO2;0.001;Emi|CO2|Energy|Demand|Industry|Other Industry;Mt CO2/yr
1.A.2.b. Non-ferrous metals|N2O;1;Emi|N2O|Energy|Demand|Industry|Other Industry;kt N2O/yr
1.A.2.b. Non-ferrous metals|NMVOC;;;
1.A.2.b. Non-ferrous metals|NOX;;;
1.A.2.b. Non-ferrous metals|SO2;;;
1.A.2.c. Chemicals|CH4;0.001;Emi|CH4|Energy|Demand|Industry|Chemicals;Mt CH4/yr
1.A.2.c. Chemicals|CO;;;
1.A.2.c. Chemicals|CO2;0.001;Emi|CO2|Energy|Demand|Industry|Chemicals;Mt CO2/yr
1.A.2.c. Chemicals|N2O;1;Emi|N2O|Energy|Demand|Industry|Chemicals;kt N2O/yr
1.A.2.c. Chemicals|NMVOC;;;
1.A.2.c. Chemicals|NOX;;;
1.A.2.c. Chemicals|SO2;;;
1.A.2.d. Pulp, paper and print|CH4;;;
1.A.2.d. Pulp, paper and print|CO;;;
1.A.2.d. Pulp, paper and print|CO2;;;
1.A.2.d. Pulp, paper and print|N2O;;;
1.A.2.d. Pulp, paper and print|NMVOC;;;
1.A.2.d. Pulp, paper and print|NOX;;;
1.A.2.d. Pulp, paper and print|SO2;;;
1.A.2.e. Food processing, beverages and tobacco|CH4;0.001;Emi|CH4|Energy|Demand|Industry|Other Industry;Mt CH4/yr
1.A.2.e. Food processing, beverages and tobacco|CO;;;
1.A.2.e. Food processing, beverages and tobacco|CO2;0.001;Emi|CO2|Energy|Demand|Industry|Other Industry;Mt CO2/yr
1.A.2.e. Food processing, beverages and tobacco|N2O;1;Emi|N2O|Energy|Demand|Industry|Other Industry;kt N2O/yr
1.A.2.e. Food processing, beverages and tobacco|NMVOC;;;
1.A.2.e. Food processing, beverages and tobacco|NOX;;;
1.A.2.e. Food processing, beverages and tobacco|SO2;;;
