CEDS2024;REMIND;IAMC;CommentREMIND;CommentIAMC
1A1a_Electricity-autoproducer;Energy|Supply|Electricity;Energy Sector;;
1A1a_Electricity-public;Energy|Supply|Electricity;Energy Sector;;
1A1a_Heat-production;Energy|Supply|Heat;Energy Sector;;
1A1bc_Other-transformation;Energy|Supply|Fuel Production;Energy Sector;This variable does not exist in REMIND yet, it is the sum of Supply|Liquids/Gases/Solids;
1A2a_Ind-Comb-Iron-steel;Energy|Demand|Industry|Steel;Industrial Sector;;
1A2b_Ind-Comb-Non-ferrous-metals;Energy|Demand|Industry|Other;Industrial Sector;;
1A2c_Ind-Comb-Chemicals;Energy|Demand|Industry|Chemicals;Industrial Sector;;
1A2d_Ind-Comb-Pulp-paper;Energy|Demand|Industry|Other;Industrial Sector;;
1A2e_Ind-Comb-Food-tobacco;Energy|Demand|Industry|Other;Industrial Sector;;
1A2f_Ind-Comb-Non-metalic-minerals;Energy|Demand|Industry|Non-Metallic Minerals;Industrial Sector;;
1A2g_Ind-Comb-Construction;Energy|Demand|Industry|Other;Industrial Sector;;
1A2g_Ind-Comb-machinery;Energy|Demand|Industry|Other;Industrial Sector;;
1A2g_Ind-Comb-mining-quarying;Energy|Demand|Industry|Other;Industrial Sector;;
1A2g_Ind-Comb-other;Energy|Demand|Industry|Other;Industrial Sector;;
1A2g_Ind-Comb-textile-leather;Energy|Demand|Industry|Other;Industrial Sector;;
1A2g_Ind-Comb-transpequip;Energy|Demand|Industry|Other;Industrial Sector;;
1A2g_Ind-Comb-wood-products;Energy|Demand|Industry|Other;Industrial Sector;;
1A3ai_International-aviation;Transport|Pass|Aviation|International|Demand;Aircraft;Transport emissions variables from EDGE-T reporting do not comply with emissions reporting structure so far, once REMIND names adapted -> adapt here as well;
1A3aii_Domestic-aviation;Energy|Demand|Transport;Aircraft;;
1A3b_Road;Energy|Demand|Transport;Transportation Sector;;
1A3c_Rail;Energy|Demand|Transport;Transportation Sector;;
1A3di_International-shipping;Transport|Freight|International Shipping|Demand;International Shipping;Transport emissions variables from EDGE-T reporting do not comply with emissions reporting structure so far, once REMIND names adapted -> adapt here as well;
1A3di_Oil_Tanker_Loading;Energy|Demand|Transport;International Shipping;;
1A3dii_Domestic-navigation;Energy|Demand|Transport;Transportation Sector;;
1A3eii_Other-transp;Energy|Demand|Transport;Transportation Sector;;
1A4a_Commercial-institutional;Energy|Demand|Buildings;Residential Commercial Other;;
1A4b_Residential;Energy|Demand|Buildings;Residential Commercial Other;;
1A4c_Agriculture-forestry-fishing;Energy|Demand|Industry|Other;Residential Commercial Other;AFOFI energy use is accounted in industry in REMIND as it relies on IEA energy balances;
1A5_Other-unspecified;Energy|Demand|Industry|Other;Industrial Sector;;
1B1_Fugitive-solid-fuels;Energy|Supply|Fuel Production;Energy Sector;In the future REMIND emissions accounting should separate fugitive from combustion emissions to be in line with IPCC accounting, once this is done in REMIND reporting -> adapt here;
1B2_Fugitive-petr;Energy|Supply|Fuel Production;Energy Sector;In the future REMIND emissions accounting should separate fugitive from combustion emissions to be in line with IPCC accounting, once this is done in REMIND reporting -> adapt here;
1B2b_Fugitive-NG-distr;Energy|Supply|Fuel Production;Energy Sector;In the future REMIND emissions accounting should separate fugitive from combustion emissions to be in line with IPCC accounting, once this is done in REMIND reporting -> adapt here;
1B2b_Fugitive-NG-prod;Energy|Supply|Fuel Production;Energy Sector;In the future REMIND emissions accounting should separate fugitive from combustion emissions to be in line with IPCC accounting, once this is done in REMIND reporting -> adapt here;
1B2d_Fugitive-other-energy;Energy|Supply|Fuel Production;Energy Sector;In the future REMIND emissions accounting should separate fugitive from combustion emissions to be in line with IPCC accounting, once this is done in REMIND reporting -> adapt here;
2A1_Cement-production;Industrial Processes|Non-Metallic Minerals;Industrial Sector;;
2A2_Lime-production;Industrial Processes|Non-Metallic Minerals;Industrial Sector;;
2Ax_Other-minerals;Industrial Processes|Other;Industrial Sector;;
2B_Chemical-industry;Industrial Processes|Chemicals;Industrial Sector;;
2B2_Chemicals-Nitric-acid;Industrial Processes|Chemicals;Industrial Sector;;
2B3_Chemicals-Adipic-acid;Industrial Processes|Chemicals;Industrial Sector;;
2C1_Iron-steel-alloy-prod;Industrial Processes|Steel;Industrial Sector;;
2C3_Aluminum-production;Industrial Processes|Other;Industrial Sector;;
2C4_Non-Ferrous-other-metals;Industrial Processes|Other;Industrial Sector;;
2D_Chemical-products-manufacture-processing;Industrial Processes|Chemicals;Solvents Production and Application;;
2D_Degreasing-Cleaning;Industrial Processes|Other;Solvents Production and Application;;
2D_Other-product-use;Industrial Processes|Other;Solvents Production and Application;;
2D_Paint-application;Industrial Processes|Other;Solvents Production and Application;;
2H_Pulp-and-paper-food-beverage-wood;Industrial Processes|Other;Industrial Sector;;
3B_Manure-management;Agriculture;Agriculture;;
3D_Rice-Cultivation;Agriculture;Agriculture;;
3D_Soil-emissions;Agriculture;Agriculture;;
3E_Enteric-fermentation;Agriculture;Agriculture;;
3I_Agriculture-other;Agriculture;Agriculture;;
5A_Solid-waste-disposal;Waste;Waste;;
5C_Waste-combustion;Waste;Waste;;
5D_Wastewater-handling;Waste;Waste;;
5E_Other-waste-handling;Waste;Waste;;
6A_Other-in-total;Industrial Processes|Other;;Not sure what this is, put it to "industrial processes" category for now;Will be explicitly set to zero so do not map to any sector (see here: https://github.com/iiasa/emissions_harmonization_historical/issues/32)
7A_Fossil-fuel-fires;Energy|Supply|Fuel Production;Energy Sector;;
7BC_Indirect-N2O-non-agricultural-N;Agriculture;Agriculture;;
