CMIP7_CEDS;REMIND;IAMC;CommentREMIND;CommentIAMC
Agriculture;Agriculture;;;
Forest Burning;AFOLU|Agricultural Waste Burning;;;
Grassland Burning;AFOLU|Land|Fires|Forest Burning;;;
Agricultural Waste Burning;AFOLU|Land|Fires|Grassland Burning;;;
Peat Burning;AFOLU|Land|Fires|Peat Burning;;;
Residential Commercial Other;Energy|Demand|Buildings;;;
Industrial Sector;Industry;;Industrial energy demand + Industrial processes;
Aircraft;Energy|Demand|Transport|Pass|Aviation;;;
Transportation Sector;w/o Bunkers|Energy|Demand|Transport;;CMIP7 Transport excludes domestic aviation;
International Shipping;Energy|Demand|Transport|Bunkers|Freight|International Shipping;;;
Energy Sector;Energy|Supply;;;
Solvents Production and Application;Product Use|Solvents;;;
Waste;Waste;;;
