Variable;Category;Gas
Emi|GHG;Total excluding LULUCF;Total GHG emissions (ktCO2e)
Emi|GHG|ESR;Total excluding LULUCF;ESR emissions (ktCO2e)
Emi|GHG|ETS;Total excluding LULUCF;ETS emissions (ktCO2e)
Emi|GHG|Supply|ETS;1.A.1. Energy industries;ETS emissions (ktCO2e)
Emi|GHG|Supply|ESR;1.A.1. Energy industries;ESR emissions (ktCO2e)
Emi|GHG|Supply|FugitiveEmifromFuels|ETS;1.B. Fugitive emissions from fuels;ETS emissions (ktCO2e)
Emi|GHG|Energy|Demand|Industry|ETS;1.A.2. Manufacturing industries and construction;ETS emissions (ktCO2e)
Emi|GHG|Industrial Processes|ETS;2. Industrial processes;ETS emissions (ktCO2e)
Emi|GHG|Energy|Demand|Industry|ESR;1.A.2. Manufacturing industries and construction;ESR emissions (ktCO2e)
Emi|GHG|Energy|Demand|Transport|ESR;1.A.3. Transport;ESR emissions (ktCO2e)
Emi|GHG|Industrial Processes|ESR;2. Industrial processes;ESR emissions (ktCO2e)
Emi|GHG|Energy|Demand|Industry;1.A.2. Manufacturing industries and construction;Total GHG emissions (ktCO2e)
Emi|GHG|Industrial Processes;2. Industrial processes;Total GHG emissions (ktCO2e)
Emi|GHG|Agriculture;3. Agriculture;ESR emissions (ktCO2e)
Emi|GHG|Supply|FugitiveEmifromFuels|ESR;1.B. Fugitive emissions from fuels;ESR emissions (ktCO2e)
Emi|GHG|Demand|Other Sectors(Residential+X)|ESR;1.A.4. Other sectors;ESR emissions (ktCO2e)
Emi|GHG|Waste;5. Waste;ESR emissions (ktCO2e)
Emi|GHG|Bunkers|Aviation;IB.Aviation;Total GHG emissions (ktCO2e)
Emi|GHG|Bunkers|Navigation;IB.Navigation;Total GHG emissions (ktCO2e)
Emi|GHG|w/o LULUCF;Total excluding LULUCF;Total GHG emissions (ktCO2e)
Emi|GHG|w/ Intl aviation;Total excluding LULUCF (incl. Int. Aviation);Total GHG emissions (ktCO2e)
