gtap;magpie
pdr;rice_pro
wht;tece
gro;trce
gro;maiz
v_f;others
v_f;cassav_sp
v_f;potato
osd;groundnut
osd;sunflower
osd;rapeseed
osd;oilpalm
osd;soybean
osd;cottn_pro
c_b;sugr_beet
c_b;sugr_cane
pfb;fibres
ocr;foddr
ocr;puls_pro
ocr;res_cereals
ocr;res_fibrous
ocr;res_nonfibrous
ctl;livst_rum
oap;livst_chick
oap;livst_egg
rmk;livst_milk
wol;zzz
frs;wood
frs;woodfuel
fsh;fish
coa;zzz
oil;zzz
gas;zzz
omn;zzz
cmt;livst_rum
omt;livst_pig
vol;oilcakes
vol;oils
mil;livst_milk
pcr;rice_pro
sgr;molasses
sgr;sugar
ofd;zzz
b_t;alcohol
b_t;distillers_grain
tex;zzz
wap;zzz
lea;zzz
lum;wood
ppp;zzz
p_c;zzz
crp;zzz
nmm;zzz
i_s;zzz
nfm;zzz
fmp;zzz
mvh;zzz
otn;zzz
ele;zzz
ome;zzz
omf;zzz
ely;zzz
gdt;zzz
wtr;zzz
cns;zzz
trd;zzz
otp;zzz
wtp;zzz
atp;zzz
cmn;zzz
ofi;zzz
isr;zzz
obs;zzz
ros;zzz
osg;zzz
dwe;zzz
xxx;begr
xxx;betr
xxx;brans
xxx;ethanol
xxx;pasture
xxx;scp
