EDGE_buildings_items;io_buildings
appliances_light_elec_fe;elec
appliances_light_natgas_fe;natgas
appliances_light_petrol_fe;petrol
cooking_biomod_fe;biomod
cooking_biotrad_fe;biotrad
cooking_coal_fe;coal
cooking_elec_fe;elec
cooking_natgas_fe;natgas
cooking_petrol_fe;petrol
space_cooling_elec_fe;elec
space_cooling_heat_fe;heat
space_heating_biomod_fe;biomod
space_heating_biotrad_fe;biotrad
space_heating_coal_fe;coal
space_heating_elecHP_fe;elec
space_heating_elecRH_fe;elec
space_heating_heat_fe;heat
space_heating_natgas_fe;natgas
space_heating_petrol_fe;petrol
water_heating_biomod_fe;biomod
water_heating_biotrad_fe;biotrad
water_heating_coal_fe;coal
water_heating_elecHP_fe;elec
water_heating_elecRH_fe;elec
water_heating_heat_fe;heat
water_heating_natgas_fe;natgas
water_heating_petrol_fe;petrol
