EDGEinput;EDGEoutput;iea_product;iea_flows;REMINDitems_in;REMINDitems_out;REMINDitems_tech;Weight;Comment;weight_convertEDGE;weight_input;weight_output
cooking_biomod_fe;cooking_biomod_ue;;;fesos;uecwsob;te_uecwsob;;;biomod;1;1
cooking_biotrad_fe;cooking_biotrad_ue;;;fesos;uecwstb;te_uecwstb;;;biotrad;1;1
cooking_coal_fe;cooking_coal_ue;;;fesos;uecwstb;te_uecwstb;;;coal;1;1
cooking_elec_fe;cooking_elec_ue;;;feels;uecwelb;te_uecwelb;;;elec;1;1
cooking_heat_fe;cooking_heat_ue;;;fehes;uecwheb;te_uecwheb;;;heat;1;1
cooking_natgas_fe;cooking_natgas_ue;;;fegas;uecwgab;te_uecwgab;;;natgas;1;1
cooking_petrol_fe;cooking_petrol_ue;;;fehos;uecwhob;te_uecwhob;;;petrol;1;1
space_cooling_biomod_fe;space_cooling_biomod_ue;;;fesos;uecwsob;te_uecwsob;;;biomod;1;1
space_cooling_biotrad_fe;space_cooling_biotrad_ue;;;fesos;uecwstb;te_uecwstb;;;biotrad;1;1
space_cooling_coal_fe;space_cooling_coal_ue;;;fesos;uecwstb;te_uecwstb;;;coal;1;1
space_cooling_heat_fe;space_cooling_heat_ue;;;fehes;uecwheb;te_uecwheb;;;heat;1;1
space_cooling_natgas_fe;space_cooling_natgas_ue;;;fegas;uecwgab;te_uecwgab;;;natgas;1;1
space_cooling_petrol_fe;space_cooling_petrol_ue;;;fehos;uecwhob;te_uecwhob;;;petrol;1;1
space_heating_biomod_fe;space_heating_biomod_ue;;;fesos;ueshsob;te_ueshsob;;;biomod;1;1
space_heating_biotrad_fe;space_heating_biotrad_ue;;;fesos;ueshstb;te_ueshstb;;;biotrad;1;1
space_heating_coal_fe;space_heating_coal_ue;;;fesos;ueshstb;te_ueshstb;;;coal;1;1
space_heating_elecHP_fe;space_heating_elecHP_ue;;;feels;ueshelb;te_ueshelb;;;elec;1;1
space_heating_elecRH_fe;space_heating_elecRH_ue;;;feels;ueshelb;te_ueshelb;;;elec;1;1
space_heating_heat_fe;space_heating_heat_ue;;;fehes;ueshheb;te_ueshheb;;;heat;1;1
space_heating_natgas_fe;space_heating_natgas_ue;;;fegas;ueshgab;te_ueshgab;;;natgas;1;1
space_heating_petrol_fe;space_heating_petrol_ue;;;fehos;ueshhob;te_ueshhob;;;petrol;1;1
water_heating_biomod_fe;water_heating_biomod_ue;;;fesos;uecwsob;te_uecwsob;;;biomod;1;1
water_heating_biotrad_fe;water_heating_biotrad_ue;;;fesos;uecwstb;te_uecwstb;;;biotrad;1;1
water_heating_coal_fe;water_heating_coal_ue;;;fesos;uecwstb;te_uecwstb;;;coal;1;1
water_heating_elec_fe;water_heating_elec_ue;;;feels;uecwelb;te_uecwelb;;;elec;1;1
water_heating_elec_fe;water_heating_elec_ue;;;feels;uecwelb;te_uecwelb;;;elec;1;1
water_heating_heat_fe;water_heating_heat_ue;;;fehes;uecwheb;te_uecwheb;;;heat;1;1
water_heating_natgas_fe;water_heating_natgas_ue;;;fegas;uecwgab;te_uecwgab;;;natgas;1;1
water_heating_petrol_fe;water_heating_petrol_ue;;;fehos;uecwhob;te_uecwhob;;;petrol;1;1
appliances_light_biomod_fe;appliances_light_biomod_ue;;;fesos;uecwsob;te_uecwsob;;;biomod;1;1
appliances_light_biotrad_fe;appliances_light_biotrad_ue;;;fesos;uecwstb;te_uecwstb;;;biotrad;1;1
appliances_light_coal_fe;appliances_light_coal_ue;;;fesos;uecwstb;te_uecwstb;;;coal;1;1
appliances_light_heat_fe;appliances_light_heat_ue;;;fehes;uecwheb;te_uecwheb;;;heat;1;1
appliances_light_natgas_fe;appliances_light_natgas_ue;;;fegas;uecwgab;te_uecwgab;;;natgas;1;1
appliances_light_petrol_fe;appliances_light_petrol_ue;;;fehos;uecwhob;te_uecwhob;;;petrol;1;1
feothelec;feothelec;;;feels;uecwelb;te_uecwelb;;;;1;1
feothgas;feothgas;;;fegas;uecwgab;te_uecwgab;;;;1;0.8
feothheat;feothheat;;;fehes;uecwheb;te_uecwheb;;;;1;1
feothliquid;feothliquid;;;fehos;uecwhob;te_uecwhob;;;;1;0.8
feothsolid;feothsolid;;;fesos;uecwsob;te_uecwsob;;;;1;0.5
