iea_product;iea_flows;REMINDitems_in;REMINDitems_out;REMINDitems_tech;Weight;Comment
ADDITIVE;AGRICULT;seliqfos;fehoi;tdfoshoi;1;
ADDITIVE;AUTOELEC;peoil;seel;dot;-1;
ADDITIVE;AVBUNK;seliqfos;fedie;tdfosdie;-1;
ADDITIVE;AVBUNK;peoil;seliqfos;refliq;-1;
ADDITIVE;COMMPUB;seliqfos;fehob;tdfoshob;1;
ADDITIVE;DISTLOSS;peoil;seliqfos;refliq;-1;
ADDITIVE;DOMESAIR;seliqfos;fedie;tdfosdie;1;dummy
ADDITIVE;DOMESNAV;seliqfos;fedie;tdfosdie;1;
ADDITIVE;EBLASTFUR;seliqfos;fehoi;tdfoshoi;-1;
ADDITIVE;ECOKEOVS;seliqfos;fehoi;tdfoshoi;-1;
ADDITIVE;EMINES;peoil;pecoal;d_oil2coal;-1;
ADDITIVE;EOILGASEX;peoil;peog;d_oil2og;-1;
ADDITIVE;EPOWERPLT;peoil;seel;dot;-1;
ADDITIVE;FISHING;seliqfos;fehoi;tdfoshoi;1;
ADDITIVE;MAINELEC;peoil;seel;dot;-1;
ADDITIVE;MARBUNK;peoil;seliqfos;refliq;-1;
ADDITIVE;MARBUNK;seliqfos;fedie;tdfosdie;-1;
ADDITIVE;NONENUSE;seliqfos;fehoi;tdfoshoi;1;
ADDITIVE;ONONSPEC;seliqfos;fehob;tdfoshob;1;
ADDITIVE;PIPELINE;seliqfos;fedie;tdfosdie;1;
ADDITIVE;RAIL;seliqfos;fedie;tdfosdie;1;
ADDITIVE;RESIDENT;seliqfos;fehob;tdfoshob;1;
ADDITIVE;ROAD;seliqfos;fepet;tdfospet;1;
ADDITIVE;TBLASTFUR;seliqfos;fehoi;tdfoshoi;-1;
ADDITIVE;TBLASTFUR;peoil;seliqfos;refliq;-1;
ADDITIVE;TCOKEOVS;seliqfos;fehoi;tdfoshoi;-1;
ADDITIVE;TCOKEOVS;peoil;seliqfos;refliq;-1;
ADDITIVE;TFC;peoil;seliqfos;refliq;1;
ADDITIVE;TGASWKS;seliqfos;fehoi;tdfoshoi;-1;
ADDITIVE;TOTENGY;peoil;seliqfos;refliq;-1;
ADDITIVE;TOTIND;seliqfos;fehoi;tdfoshoi;1;
ADDITIVE;TRNONSPE;seliqfos;fedie;tdfosdie;1;
ANTCOAL;AGRICULT;sesofos;fesoi;tdfossoi;1;
ANTCOAL;AUTOCHP;pecoal;seel;coalchp;-1;
ANTCOAL;AUTOCHP;pecoal;sehe;coalchp;-1;
ANTCOAL;AUTOELEC;pecoal;seel;pc;-1;
ANTCOAL;AUTOHEAT;pecoal;sehe;coalhp;-1;
ANTCOAL;COMMPUB;sesofos;fesob;tdfossob;1;
ANTCOAL;DISTLOSS;sesofos;feso;d_fesofos;-1;
ANTCOAL;DISTLOSS;pecoal;sesofos;coaltr;-1;
ANTCOAL;EBLASTFUR;sesofos;fesoi;tdfossoi;-1;
ANTCOAL;ECOKEOVS;pecoal;sesofos;coaltr;-1;
ANTCOAL;EMINES;pecoal;sesofos;d_coal2coal;-1;
ANTCOAL;EPOWERPLT;pecoal;seel;d_coal2elec;-1;
ANTCOAL;FISHING;sesofos;fesoi;tdfossoi;1;
ANTCOAL;MAINCHP;pecoal;seel;coalchp;-1;
ANTCOAL;MAINCHP;pecoal;sehe;coalchp;-1;
ANTCOAL;MAINELEC;pecoal;seel;pc;-1;
ANTCOAL;MAINHEAT;pecoal;sehe;coalhp;-1;
ANTCOAL;NONENUSE;sesofos;fesoi;tdfossoi;1;
ANTCOAL;ONONSPEC;sesofos;fesob;tdfossob;1;
ANTCOAL;RAIL;sesofos;fesoi;tdfossoi;1;
ANTCOAL;RESIDENT;sesofos;fesob;tdfossob;1;
ANTCOAL;TBKB;pecoal;sesofos;coaltr;-1;
ANTCOAL;TBLASTFUR;sesofos;fesoi;tdfossoi;-1;
ANTCOAL;TBLASTFUR;pecoal;sesofos;coaltr;-1;
ANTCOAL;TCOKEOVS;pecoal;sesofos;coaltr;-1;
ANTCOAL;TFC;pecoal;sesofos;coaltr;1;
ANTCOAL;TOTIND;sesofos;fesoi;tdfossoi;1;
ANTCOAL;TPATFUEL;pecoal;sesofos;coaltr;-1;
AVGAS;AGRICULT;seliqfos;fehoi;tdfoshoi;1;
AVGAS;AUTOELEC;peoil;seel;dot;-1;
AVGAS;AVBUNK;seliqfos;fedie;tdfosdie;-1;
AVGAS;AVBUNK;peoil;seliqfos;refliq;-1;
AVGAS;COMMPUB;seliqfos;fehob;tdfoshob;1;
AVGAS;DISTLOSS;peoil;seliqfos;refliq;-1;
AVGAS;DOMESAIR;seliqfos;fedie;tdfosdie;1;
AVGAS;DOMESNAV;seliqfos;fedie;tdfosdie;1;
AVGAS;EBLASTFUR;seliqfos;fehoi;tdfoshoi;-1;
AVGAS;ECOKEOVS;seliqfos;fehoi;tdfoshoi;-1;
AVGAS;EMINES;peoil;pecoal;d_oil2coal;-1;
AVGAS;EOILGASEX;peoil;peog;d_oil2og;-1;
AVGAS;EPOWERPLT;peoil;seel;dot;-1;
AVGAS;FISHING;seliqfos;fehoi;tdfoshoi;1;
AVGAS;MAINELEC;peoil;seel;dot;-1;
AVGAS;MARBUNK;peoil;seliqfos;refliq;-1;
AVGAS;MARBUNK;seliqfos;fedie;tdfosdie;-1;
AVGAS;NONENUSE;seliqfos;fehoi;tdfoshoi;1;
AVGAS;ONONSPEC;seliqfos;fehob;tdfoshob;1;
AVGAS;PIPELINE;seliqfos;fedie;tdfosdie;1;
AVGAS;RAIL;seliqfos;fedie;tdfosdie;1;
AVGAS;RESIDENT;seliqfos;fehob;tdfoshob;1;
AVGAS;ROAD;seliqfos;fedie;tdfosdie;1;
AVGAS;TBLASTFUR;seliqfos;fehoi;tdfoshoi;-1;
AVGAS;TBLASTFUR;peoil;seliqfos;refliq;-1;
AVGAS;TCOKEOVS;seliqfos;fehoi;tdfoshoi;-1;
AVGAS;TCOKEOVS;peoil;seliqfos;refliq;-1;
AVGAS;TFC;peoil;seliqfos;refliq;1;
AVGAS;TGASWKS;seliqfos;fehoi;tdfoshoi;-1;
AVGAS;TOTENGY;peoil;seliqfos;refliq;-1;
AVGAS;TOTIND;seliqfos;fehoi;tdfoshoi;1;
AVGAS;TRNONSPE;seliqfos;fedie;tdfosdie;1;
BIODIESEL;AGRICULT;seliqbio;fehoi;tdbiohoi;1;
BIODIESEL;AUTOCHP;pebiolc;seel;biochp;-1;
BIODIESEL;AUTOCHP;pebiolc;sehe;biochp;-1;
BIODIESEL;AUTOELEC;pebiolc;seel;bioigcc;-1;
BIODIESEL;AUTOHEAT;pebiolc;sehe;biohp;-1;
BIODIESEL;AVBUNK;seliqbio;fedie;tdbiodie;-1;
BIODIESEL;COMMPUB;seliqbio;fehob;tdbiohob;1;
BIODIESEL;DOMESAIR;seliqbio;fedie;tdbiodie;1;
BIODIESEL;DOMESNAV;seliqbio;fedie;tdbiodie;1;
BIODIESEL;EBLASTFUR;seliqbio;fehoi;tdbiohoi;-1;
BIODIESEL;ECOKEOVS;seliqbio;fehoi;tdbiohoi;-1;
BIODIESEL;EPOWERPLT;pebiolc;seel;d_bio2elec;-1;
BIODIESEL;FISHING;seliqbio;fehoi;tdbiohoi;1;
BIODIESEL;MAINCHP;pebiolc;seel;biochp;-1;
BIODIESEL;MAINCHP;pebiolc;sehe;biochp;-1;
BIODIESEL;MAINELEC;pebiolc;seel;bioigcc;-1;
BIODIESEL;MAINHEAT;pebiolc;sehe;biohp;-1;
BIODIESEL;MARBUNK;seliqbio;fedie;tdbiodie;-1;
BIODIESEL;NONENUSE;seliqbio;fehoi;tdbiohoi;1;
BIODIESEL;ONONSPEC;seliqbio;fehob;tdbiohob;1;
BIODIESEL;PIPELINE;seliqbio;fedie;tdbiodie;1;
BIODIESEL;RAIL;seliqbio;fedie;tdbiodie;1;
BIODIESEL;RESIDENT;seliqbio;fehob;tdbiohob;1;
BIODIESEL;ROAD;seliqbio;fedie;tdbiodie;1;
BIODIESEL;TBLASTFUR;seliqbio;fehoi;tdbiohoi;-1;
BIODIESEL;TCOKEOVS;seliqbio;fehoi;tdbiohoi;-1;
BIODIESEL;TFC;pebioil;seliqbio;biodiesel;1;
BIODIESEL;TGASWKS;seliqbio;fehoi;tdbiohoi;-1;
BIODIESEL;TOTENGY;pebioil;seliqbio;biodiesel;-1;
BIODIESEL;TOTIND;seliqbio;fehoi;tdbiohoi;1;
BIODIESEL;TRNONSPE;seliqbio;fedie;tdbiodie;1;
BIOGASES;AGRICULT;segabio;fegai;tdbiogai;1;
BIOGASES;AUTOCHP;pebiolc;seel;biochp;-1;
BIOGASES;AUTOCHP;pebiolc;sehe;biochp;-1;
BIOGASES;AUTOELEC;pebiolc;seel;bioigcc;-1;
BIOGASES;AUTOHEAT;pebiolc;sehe;biohp;-1;
BIOGASES;AVBUNK;segabio;fegat;tdbiogat;-1;
BIOGASES;COMMPUB;segabio;fegab;tdbiogab;1;
BIOGASES;DISTLOSS;segabio;fega;d_fegabio;-1;
BIOGASES;DISTLOSS;pebiolc;segabio;biogas;-1;
BIOGASES;DOMESAIR;segabio;fegat;tdbiogat;1;
BIOGASES;DOMESNAV;segabio;fegat;tdbiogat;1;
BIOGASES;ENONSPEC;segabio;fega;d_fegabio;-1;
BIOGASES;EPOWERPLT;pebiolc;seel;d_bio2elec;-1;
BIOGASES;EREFINER;segabio;fegai;tdbiogai;-1;
BIOGASES;FISHING;segabio;fegai;tdbiogai;1;
BIOGASES;MAINCHP;pebiolc;seel;biochp;-1;
BIOGASES;MAINCHP;pebiolc;sehe;biochp;-1;
BIOGASES;MAINELEC;pebiolc;seel;bioigcc;-1;
BIOGASES;MAINHEAT;pebiolc;sehe;biohp;-1;
BIOGASES;MARBUNK;segabio;fegat;tdbiogat;-1;
BIOGASES;NONENUSE;segabio;fegai;tdbiogai;1;
BIOGASES;ONONSPEC;segabio;fegab;tdbiogab;1;
BIOGASES;RAIL;segabio;fegat;tdbiogat;1;
BIOGASES;RESIDENT;segabio;fegab;tdbiogab;1;
BIOGASES;ROAD;segabio;fegat;tdbiogat;1;
BIOGASES;TBLASTFUR;segabio;fegai;tdbiogai;1;
BIOGASES;TCOKEOVS;segabio;fegai;tdbiogai;1;
BIOGASES;TFC;pebiolc;segabio;biogas;1;
BIOGASES;TOTENGY;pebiolc;segabio;biogas;-1;
BIOGASES;TOTIND;segabio;fegai;tdbiogai;1;
BIOGASES;TREFINER;segabio;fegai;tdbiogai;-1;
BIOGASES;TRNONSPE;segabio;fegat;tdbiogat;1;
BIOGASOL;AGRICULT;seliqbio;fehoi;tdbiohoi;1;
BIOGASOL;AUTOCHP;pebiolc;seel;biochp;-1;
BIOGASOL;AUTOCHP;pebiolc;sehe;biochp;-1;
BIOGASOL;AUTOELEC;pebiolc;seel;bioigcc;-1;
BIOGASOL;AUTOHEAT;pebiolc;sehe;biohp;-1;
BIOGASOL;AVBUNK;seliqbio;fedie;tdbiodie;-1;
BIOGASOL;COMMPUB;seliqbio;fehob;tdbiohob;1;
BIOGASOL;DOMESAIR;seliqbio;fedie;tdbiodie;1;
BIOGASOL;DOMESNAV;seliqbio;fedie;tdbiodie;1;
BIOGASOL;EBLASTFUR;seliqbio;fehoi;tdbiohoi;-1;
BIOGASOL;ECOKEOVS;seliqbio;fehoi;tdbiohoi;-1;
BIOGASOL;EPOWERPLT;pebiolc;seel;d_bio2elec;-1;
BIOGASOL;FISHING;seliqbio;fehoi;tdbiohoi;1;
BIOGASOL;MAINCHP;pebiolc;seel;biochp;-1;
