EDGEitems;iea_product;iea_flows;REMINDitems_in;REMINDitems_out;REMINDitems_tech;Weight;Comment
;ADDITIVE;NONMET;seliqfos;feli_cement;tdfoshoi;1;
;ADDITIVE;CHEMICAL;seliqfos;feli_chemicals;tdfoshoi;1;
;ADDITIVE;EBLASTFUR;seliqfos;feli_steel;tdfoshoi;1;
;ADDITIVE;ECOKEOVS;seliqfos;feli_steel;tdfoshoi;1;
;ADDITIVE;TBLASTFUR;seliqfos;feli_steel;tdfoshoi;1;
;ADDITIVE;TCOKEOVS;seliqfos;feli_steel;tdfoshoi;1;
;ADDITIVE;TOTIND;seliqfos;feli_steel;tdfoshoi;1;
;ADDITIVE;CONSTRUC;seliqfos;feli_otherInd;tdfoshoi;1;
;ADDITIVE;FOODPRO;seliqfos;feli_otherInd;tdfoshoi;1;
;ADDITIVE;INONSPEC;seliqfos;feli_otherInd;tdfoshoi;1;
;ADDITIVE;MACHINE;seliqfos;feli_otherInd;tdfoshoi;1;
;ADDITIVE;MINING;seliqfos;feli_otherInd;tdfoshoi;1;
;ADDITIVE;NONFERR;seliqfos;feli_otherInd;tdfoshoi;1;
;ADDITIVE;PAPERPRO;seliqfos;feli_otherInd;tdfoshoi;1;
;ADDITIVE;TEXTILES;seliqfos;feli_otherInd;tdfoshoi;1;
;ADDITIVE;TRANSEQ;seliqfos;feli_otherInd;tdfoshoi;1;
;ADDITIVE;WOODPRO;seliqfos;feli_otherInd;tdfoshoi;1;
;ANTCOAL;NONMET;sesofos;feso_cement;tdfossoi;1;
;ANTCOAL;CHEMICAL;sesofos;feso_chemicals;tdfossoi;1;
;ANTCOAL;EBLASTFUR;sesofos;feso_steel;tdfossoi;1;
;ANTCOAL;ECOKEOVS;sesofos;feso_steel;tdfossoi;1;
;ANTCOAL;TBLASTFUR;sesofos;feso_steel;tdfossoi;1;
;ANTCOAL;TCOKEOVS;sesofos;feso_steel;tdfossoi;1;
;ANTCOAL;TOTIND;sesofos;feso_steel;tdfossoi;1;
;ANTCOAL;CONSTRUC;sesofos;feso_otherInd;tdfossoi;1;
;ANTCOAL;FOODPRO;sesofos;feso_otherInd;tdfossoi;1;
;ANTCOAL;INONSPEC;sesofos;feso_otherInd;tdfossoi;1;
;ANTCOAL;MACHINE;sesofos;feso_otherInd;tdfossoi;1;
;ANTCOAL;MINING;sesofos;feso_otherInd;tdfossoi;1;
;ANTCOAL;NONFERR;sesofos;feso_otherInd;tdfossoi;1;
;ANTCOAL;PAPERPRO;sesofos;feso_otherInd;tdfossoi;1;
;ANTCOAL;TEXTILES;sesofos;feso_otherInd;tdfossoi;1;
;ANTCOAL;TRANSEQ;sesofos;feso_otherInd;tdfossoi;1;
;ANTCOAL;WOODPRO;sesofos;feso_otherInd;tdfossoi;1;
;AVGAS;NONMET;seliqfos;feli_cement;tdfoshoi;1;
;AVGAS;CHEMICAL;seliqfos;feli_chemicals;tdfoshoi;1;
;AVGAS;EBLASTFUR;seliqfos;feli_steel;tdfoshoi;1;
;AVGAS;ECOKEOVS;seliqfos;feli_steel;tdfoshoi;1;
;AVGAS;TBLASTFUR;seliqfos;feli_steel;tdfoshoi;1;
;AVGAS;TCOKEOVS;seliqfos;feli_steel;tdfoshoi;1;
;AVGAS;TOTIND;seliqfos;feli_steel;tdfoshoi;1;
;AVGAS;CONSTRUC;seliqfos;feli_otherInd;tdfoshoi;1;
;AVGAS;FOODPRO;seliqfos;feli_otherInd;tdfoshoi;1;
;AVGAS;INONSPEC;seliqfos;feli_otherInd;tdfoshoi;1;
;AVGAS;MACHINE;seliqfos;feli_otherInd;tdfoshoi;1;
;AVGAS;MINING;seliqfos;feli_otherInd;tdfoshoi;1;
;AVGAS;NONFERR;seliqfos;feli_otherInd;tdfoshoi;1;
;AVGAS;PAPERPRO;seliqfos;feli_otherInd;tdfoshoi;1;
;AVGAS;TEXTILES;seliqfos;feli_otherInd;tdfoshoi;1;
;AVGAS;TRANSEQ;seliqfos;feli_otherInd;tdfoshoi;1;
;AVGAS;WOODPRO;seliqfos;feli_otherInd;tdfoshoi;1;
;BIODIESEL;NONMET;seliqbio;feli_cement;tdbiohoi;1;
;BIODIESEL;CHEMICAL;seliqbio;feli_chemicals;tdbiohoi;1;
;BIODIESEL;EBLASTFUR;seliqbio;feli_steel;tdbiohoi;1;
;BIODIESEL;ECOKEOVS;seliqbio;feli_steel;tdbiohoi;1;
;BIODIESEL;TBLASTFUR;seliqbio;feli_steel;tdbiohoi;1;
;BIODIESEL;TCOKEOVS;seliqbio;feli_steel;tdbiohoi;1;
;BIODIESEL;TOTIND;seliqbio;feli_steel;tdbiohoi;1;
;BIODIESEL;CONSTRUC;seliqbio;feli_otherInd;tdbiohoi;1;
;BIODIESEL;FOODPRO;seliqbio;feli_otherInd;tdbiohoi;1;
;BIODIESEL;INONSPEC;seliqbio;feli_otherInd;tdbiohoi;1;
;BIODIESEL;MACHINE;seliqbio;feli_otherInd;tdbiohoi;1;
;BIODIESEL;MINING;seliqbio;feli_otherInd;tdbiohoi;1;
;BIODIESEL;NONFERR;seliqbio;feli_otherInd;tdbiohoi;1;
;BIODIESEL;PAPERPRO;seliqbio;feli_otherInd;tdbiohoi;1;
;BIODIESEL;TEXTILES;seliqbio;feli_otherInd;tdbiohoi;1;
;BIODIESEL;TRANSEQ;seliqbio;feli_otherInd;tdbiohoi;1;
;BIODIESEL;WOODPRO;seliqbio;feli_otherInd;tdbiohoi;1;
;BIOGASES;NONMET;segabio;fega_cement;tdbiogai;1;
;BIOGASES;CHEMICAL;segabio;fega_chemicals;tdbiogai;1;
;BIOGASES;EBLASTFUR;segabio;fega_steel;tdbiogai;1;
;BIOGASES;ECOKEOVS;segabio;fega_steel;tdbiogai;1;
;BIOGASES;TBLASTFUR;segabio;fega_steel;tdbiogai;1;
;BIOGASES;TCOKEOVS;segabio;fega_steel;tdbiogai;1;
;BIOGASES;TOTIND;segabio;fega_steel;tdbiogai;1;
;BIOGASES;CONSTRUC;segabio;fega_otherInd;tdbiogai;1;
;BIOGASES;FOODPRO;segabio;fega_otherInd;tdbiogai;1;
;BIOGASES;INONSPEC;segabio;fega_otherInd;tdbiogai;1;
;BIOGASES;MACHINE;segabio;fega_otherInd;tdbiogai;1;
;BIOGASES;MINING;segabio;fega_otherInd;tdbiogai;1;
;BIOGASES;NONFERR;segabio;fega_otherInd;tdbiogai;1;
;BIOGASES;PAPERPRO;segabio;fega_otherInd;tdbiogai;1;
;BIOGASES;TEXTILES;segabio;fega_otherInd;tdbiogai;1;
;BIOGASES;TRANSEQ;segabio;fega_otherInd;tdbiogai;1;
;BIOGASES;WOODPRO;segabio;fega_otherInd;tdbiogai;1;
;BIOGASOL;NONMET;seliqbio;feli_cement;tdbiohoi;1;
