iea_product;iea_flows;REMINDitems_enty;REMINDitems_trade;Weight;Comment
ADDITIVE;IMPORTS;peoil;Mport;1;
AVGAS;IMPORTS;peoil;Mport;1;
BIODIESEL;IMPORTS;peoil;Mport;0;
BIOGASOL;IMPORTS;peoil;Mport;0;
BITUMEN;IMPORTS;peoil;Mport;1;
COALTAR;IMPORTS;peoil;Mport;0;
CRNGFEED;IMPORTS;peoil;Mport;1;
CRUDEOIL;IMPORTS;peoil;Mport;1;
ETHANE;IMPORTS;peoil;Mport;1;
JETGAS;IMPORTS;peoil;Mport;1;
LPG;IMPORTS;peoil;Mport;1;
LUBRIC;IMPORTS;peoil;Mport;1;
NAPHTHA;IMPORTS;peoil;Mport;1;
NGL;IMPORTS;peoil;Mport;1;
NONBIODIES;IMPORTS;peoil;Mport;1;
NONBIOGASO;IMPORTS;peoil;Mport;1;
NONBIOJETK;IMPORTS;peoil;Mport;1;
NONCRUDE;IMPORTS;peoil;Mport;1;
OBIOLIQ;IMPORTS;peoil;Mport;0;
ONONSPEC;IMPORTS;peoil;Mport;1;
OTHKERO;IMPORTS;peoil;Mport;1;
PARWAX;IMPORTS;peoil;Mport;1;
PETCOKE;IMPORTS;peoil;Mport;1;
REFFEEDS;IMPORTS;peoil;Mport;1;
REFINGAS;IMPORTS;peoil;Mport;1;
RESFUEL;IMPORTS;peoil;Mport;1;
WHITESP;IMPORTS;peoil;Mport;1;
ADDITIVE;EXPORTS;peoil;Xport;-1;
AVGAS;EXPORTS;peoil;Xport;-1;
BIODIESEL;EXPORTS;peoil;Xport;0;
BIOGASOL;EXPORTS;peoil;Xport;0;
BITUMEN;EXPORTS;peoil;Xport;-1;
COALTAR;EXPORTS;peoil;Xport;0;
CRNGFEED;EXPORTS;peoil;Xport;-1;
CRUDEOIL;EXPORTS;peoil;Xport;-1;
ETHANE;EXPORTS;peoil;Xport;-1;
JETGAS;EXPORTS;peoil;Xport;-1;
LPG;EXPORTS;peoil;Xport;-1;
LUBRIC;EXPORTS;peoil;Xport;-1;
NAPHTHA;EXPORTS;peoil;Xport;-1;
NGL;EXPORTS;peoil;Xport;-1;
NONBIODIES;EXPORTS;peoil;Xport;-1;
NONBIOGASO;EXPORTS;peoil;Xport;-1;
NONBIOJETK;EXPORTS;peoil;Xport;-1;
NONCRUDE;EXPORTS;peoil;Xport;-1;
OBIOLIQ;EXPORTS;peoil;Xport;0;
ONONSPEC;EXPORTS;peoil;Xport;-1;
OTHKERO;EXPORTS;peoil;Xport;-1;
PARWAX;EXPORTS;peoil;Xport;-1;
PETCOKE;EXPORTS;peoil;Xport;-1;
REFFEEDS;EXPORTS;peoil;Xport;-1;
REFINGAS;EXPORTS;peoil;Xport;-1;
RESFUEL;EXPORTS;peoil;Xport;-1;
WHITESP;EXPORTS;peoil;Xport;-1;
HARDCOAL;IMPORTS;pecoal;Mport;1;
BROWN;IMPORTS;pecoal;Mport;1;
ANTCOAL;IMPORTS;pecoal;Mport;1;
COKCOAL;IMPORTS;pecoal;Mport;1;
BITCOAL;IMPORTS;pecoal;Mport;1;
SUBCOAL;IMPORTS;pecoal;Mport;1;
LIGNITE;IMPORTS;pecoal;Mport;1;
PATFUEL;IMPORTS;pecoal;Mport;1;
OVENCOKE;IMPORTS;pecoal;Mport;1;
GASCOKE;IMPORTS;pecoal;Mport;1;
COALTAR;IMPORTS;pecoal;Mport;1;
BKB;IMPORTS;pecoal;Mport;1;
PEAT;IMPORTS;pecoal;Mport;1;
PEATPROD;IMPORTS;pecoal;Mport;1;
HARDCOAL;EXPORTS;pecoal;Xport;-1;
BROWN;EXPORTS;pecoal;Xport;-1;
ANTCOAL;EXPORTS;pecoal;Xport;-1;
COKCOAL;EXPORTS;pecoal;Xport;-1;
BITCOAL;EXPORTS;pecoal;Xport;-1;
SUBCOAL;EXPORTS;pecoal;Xport;-1;
LIGNITE;EXPORTS;pecoal;Xport;-1;
PATFUEL;EXPORTS;pecoal;Xport;-1;
OVENCOKE;EXPORTS;pecoal;Xport;-1;
GASCOKE;EXPORTS;pecoal;Xport;-1;
COALTAR;EXPORTS;pecoal;Xport;-1;
BKB;EXPORTS;pecoal;Xport;-1;
PEAT;EXPORTS;pecoal;Xport;-1;
PEATPROD;EXPORTS;pecoal;Xport;-1;
NATGAS;IMPORTS;pegas;Mport;1;
NATGAS;EXPORTS;pegas;Xport;-1;
