"REMIND Source";"REMIND Technology";"REMIND Cooling";"Davies Source/Technology";"Davies Cooling"
"pegas";"ngcc";"tower";"Combined Cycle";"WT"
"pegas";"ngcc";"once";"Combined Cycle";"1-thru"
"pegas";"ngcc";"pond";"Combined Cycle";"Pond"
"pegas";"ngcc";"dry";"Combined Cycle";"Dry"
"pegas";"ngccc";"tower";"Combined Cycle";"WT"
"pegas";"ngccc";"once";"Combined Cycle";"1-thru"
"pegas";"ngccc";"pond";"Combined Cycle";"Pond"
"pegas";"ngccc";"dry";"Combined Cycle";"Dry"
"pegas";"ngt";"tower";"Other fossil/bio";"WT"
"pegas";"ngt";"once";"Other fossil/bio";"1-thru"
"pegas";"ngt";"pond";"Other fossil/bio";"Pond"
"pegas";"ngt";"dry";"Other fossil/bio";"Dry"
"pegas";"gaschp";"tower";"Other fossil/bio";"WT"
"pegas";"gaschp";"once";"Other fossil/bio";"1-thru"
"pegas";"gaschp";"pond";"Other fossil/bio";"Pond"
"pegas";"gaschp";"dry";"Other fossil/bio";"Dry"
"pecoal";"igcc";"tower";"Combined Cycle";"WT"
"pecoal";"igcc";"once";"Combined Cycle";"1-thru"
"pecoal";"igcc";"pond";"Combined Cycle";"Pond"
"pecoal";"igcc";"dry";"Combined Cycle";"Dry"
"pecoal";"igccc";"tower";"Combined Cycle";"WT"
"pecoal";"igccc";"once";"Combined Cycle";"1-thru"
"pecoal";"igccc";"pond";"Combined Cycle";"Pond"
"pecoal";"igccc";"dry";"Combined Cycle";"Dry"
"pecoal";"pc";"tower";"Coal";"WT"
"pecoal";"pc";"once";"Coal";"1-thru"
"pecoal";"pc";"pond";"Coal";"Pond"
"pecoal";"pc";"dry";"Coal";"Dry"
"pecoal";"pcc";"tower";"Coal";"WT"
"pecoal";"pcc";"once";"Coal";"1-thru"
"pecoal";"pcc";"pond";"Coal";"Pond"
"pecoal";"pcc";"dry";"Coal";"Dry"
"pecoal";"pco";"tower";"Coal";"WT"
"pecoal";"pco";"once";"Coal";"1-thru"
"pecoal";"pco";"pond";"Coal";"Pond"
"pecoal";"pco";"dry";"Coal";"Dry"
"pecoal";"coalchp";"tower";"Coal";"WT"
"pecoal";"coalchp";"once";"Coal";"1-thru"
"pecoal";"coalchp";"pond";"Coal";"Pond"
"pecoal";"coalchp";"dry";"Coal";"Dry"
"peoil";"dot";"tower";"Other fossil/bio";"WT"
"peoil";"dot";"once";"Other fossil/bio";"1-thru"
"peoil";"dot";"pond";"Other fossil/bio";"Pond"
"peoil";"dot";"dry";"Other fossil/bio";"Dry"
"peur";"tnrs";"tower";"Nuclear";"WT"
"peur";"tnrs";"once";"Nuclear";"1-thru"
"peur";"tnrs";"pond";"Nuclear";"Pond"
"peur";"tnrs";"dry";"Nuclear";"Dry"
"pebiolc";"biochp";"tower";"Other fossil/bio";"WT"
"pebiolc";"biochp";"once";"Other fossil/bio";"1-thru"
"pebiolc";"biochp";"pond";"Other fossil/bio";"Pond"
"pebiolc";"biochp";"dry";"Other fossil/bio";"Dry"
"pebiolc";"bioigcc";"tower";"Combined Cycle";"WT"
"pebiolc";"bioigcc";"once";"Combined Cycle";"1-thru"
"pebiolc";"bioigcc";"pond";"Combined Cycle";"Pond"
"pebiolc";"bioigcc";"dry";"Combined Cycle";"Dry"
"pebiolc";"bioigccc";"tower";"Combined Cycle";"WT"
"pebiolc";"bioigccc";"once";"Combined Cycle";"1-thru"
"pebiolc";"bioigccc";"pond";"Combined Cycle";"Pond"
"pebiolc";"bioigccc";"dry";"Combined Cycle";"Dry"
"pegeo";"geohdr";"tower";"-";"-"
"pegeo";"geohdr";"dry";"-";"-"
"pegeo";"geohdr";"hybrid";"-";"-"
"pehyd";"hydro";"default";"-";"-"
"pewin";"wind";"default";"-";"-"
"pesol";"spv";"default";"-";"-"
"pesol";"csp";"tower";"-";"-"
"pesol";"csp";"dry";"-";"-"
"pesol";"csp";"hybrid";"-";"-"
